번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
11,공역등급 적용 및 관리에 대한 설명 중 옳은 것을 고른 것은?,"가. 인천비행정보구역 내 모든 공역의 등급은 별표 2를 따른다.
나. 항공교통업무 공역이 수평으로 인접한 경우 공통 경계에서는 제한이 더 많은 공역등급을 적용한다.
다. 항공교통업무 공역이 수직으로 인접한 경우 공통 고도에서는 제한이 더 적은 공역등급의 요건을 적용한다.",가,가·나,가·다,가·나·다,3,해설: 제11조 제3항에 따라 수직으로 인접하는 공통 고도에서는 제한이 더 적은 공역등급의 요건을 적용함. 나번의 수평 인접 시 제한이 더 많은 쪽을 적용한다는 규정은 본 기준에 명시되어 있지 않음. (출처: 제11조)
12,성능기반항행(PBN) 운항에 관한 규정 중 옳지 않은 것은?,,PBN 운항을 위한 항행요건은 국토교통부장관이 정한 '성능기반항행(PBN) 운용지침'을 따른다.,항행요건을 지정된 공역이나 항공교통로에 적용할 때는 지역항행협정에 기초하여 정하여야 한다.,항행요건은 관련 공역에 제공되는 통신 및 항행 수준에 관계없이 ICAO 표준을 우선 적용한다.,성능기반항행 이행에 대한 안전평가와 지속적 감시는 국가항공안전프로그램에 따라 시행되어야 한다.,3,"해설: 제12조 제3항에 따라 항행요건은 관련 공역에 제공되는 통신, 항행 및 항공교통업무의 수준에 '부합'하여야 함. (출처: 제12조)"
13,비행정보구역(FIR) 및 관제구(CTA) 설정 기준에 대한 설명으로 옳지 않은 것은?,,비행정보구역은 해당 구역 내 항공로 구조의 전부를 포함하도록 설정하여야 한다.,고고도비행정보구역의 하부한계는 하부 비행정보구역의 상부한계와 일치하여야 한다.,"관제구의 하부한계는 지상 또는 수면으로부터 최소 300미터(1,000피트) 이상의 높이로 설정하여야 한다.","관제구의 하부한계가 해발 900미터(3,000피트)보다 높을 경우 VFR 순항고도와 일치시켜야 한다.",3,해설: 제15조 제3호 나목에 따라 관제구의 하부한계는 지상 또는 수면으로부터 200미터(700피트) 이상의 높이로 설정하여야 함. (출처: 제15조)
14,관제권(Control zones)의 설정 기준에 대한 설명 중 옳은 것은?,,관제권의 수평범위는 비행장의 중심으로부터 접근 방향으로 최소한 5km까지 연장되어야 한다.,관제권이 관제구의 수평범위 내에 위치할 경우 지표면으로부터 관제구의 상부한계까지 연장된다.,관제권이 관제구의 수평범위 바깥에 위치할 경우 상부한계를 설정할 필요가 없다.,해발 900미터보다 높은 관제권 상부한계를 설정할 경우 VFR 순항고도와 일치시켜야 한다.,4,"해설: 제15조 제5호 마목에 따른 올바른 설명임. 1번은 9.3km(5NM), 2번은 관제구의 하부한계까지, 3번은 상부한계를 설정해야 함. (출처: 제15조)"
15,항공교통업무시설 및 공역의 명칭 부여 원칙으로 옳지 않은 것은?,,"지역관제소 또는 비행정보실의 명칭은 인근 마을, 도시의 이름 또는 지리적 특징에 따라 부여한다.",관제탑 또는 접근관제소의 명칭은 소재하는 비행장의 이름에 따라 부여한다.,관제구 또는 비행정보구역의 명칭은 해당 공역을 관할하는 시설의 명칭과 무관하게 고유 명칭을 부여한다.,관제권의 명칭은 해당 공역에 대하여 관할권을 가지고 있는 시설의 이름에 따라 부여한다.,3,"해설: 제16조 제3호에 따라 관제권, 관제구 또는 비행정보구역의 명칭은 해당 공역에 대하여 관할권을 가지고 있는 '시설의 이름'에 따라 부여함. (출처: 제16조)"
16,항공교통로 설정 및 명칭 부여에 관한 규정 중 옳지 않은 것은?,,항공교통로 설정 시 보호공역 및 인접 항공교통로 간의 안전간격을 확보하여야 한다.,공해 상의 수상헬기장에 입·출항하는 저고도 항공기를 위한 특별 항공교통로를 설정할 수 있다.,표준 출발(SID) 및 도착(STAR) 비행경로 외의 항공교통로 명칭은 별표 4의 원칙에 따라 부여한다.,평행항공교통로 중심선 간의 안전간격은 항공기 운영자가 제출한 성능보고서에 기초하여 결정한다.,4,해설: 제17조 제5항 제3호에 따라 평행항공교통로 간 안전간격은 '성능기반항행(PBN) 운용지침'의 관련 항행요건을 따름. (출처: 제17조)
17,주파수변경지점(COP)의 설정에 관한 설명으로 가장 적절한 것은?,,주파수변경지점은 길이가 110km(60NM) 미만인 모든 항공로에 의무적으로 설정하여야 한다.,직선 항공로의 주파수변경지점은 시설 간 신호 강도와 관계없이 무조건 기하학적 중간지점에 설정한다.,VOR 방향이 교차되는 항공로의 경우 주파수변경지점은 교차지점에 설정하여야 한다.,시설 간 신호 품질의 최적 균형보다 조종사의 업무량 감소를 최우선하여 설정 지점을 변경한다.,3,"해설: 제18조 제2호에 따른 올바른 설명임. 1번은 110km 이상인 항공로에 설정(복잡한 곳 제외), 2번은 별도로 정하지 않은 경우에 중간지점에 설정함. (출처: 제18조)"
18,중요지점(Significant Points)의 설정 및 명칭 부여에 관한 설명으로 옳은 것은?,,중요지점은 조종사가 육안으로 식별 가능한 지형지물 위에 설정하는 것을 원칙으로 한다.,중요지점의 명칭을 부여할 때는 반드시 인근 도시의 이름을 포함한 5글자 이상의 영문자로 정한다.,항공로 및 계기접근절차 설정 목적이나 항공교통업무 필요성에 따라 특정한 지리적 위치에 설정한다.,중요지점의 식별부호는 중복 방지를 위해 관할 접근관제소의 명칭 약어를 접두어로 사용한다.,3,해설: 제19조 제1호에 따른 정확한 정의임. 명칭은 식별부호로 정하며 세부 원칙은 별표 8을 따름. (출처: 제19조)
19,표준지상이동경로(Standard Routes for Taxiing Aircraft)에 관한 설명 중 옳지 않은 것은?,,"비행장 내 활주로, 계류장 및 정비지역 사이에 설정할 수 있다.",표준지상이동경로는 항공기 간 충돌 회피를 위해 가능한 복잡하게 구성하여 속도를 줄이도록 한다.,표준지상이동경로의 식별부호 명칭은 활주로 및 항공로 명칭과 중복되지 않아야 한다.,표준지상이동경로는 필요한 경우 가능한 직선으로 설정하여야 한다.,2,해설: 제20조 제1호에 따라 표준지상이동경로는 항공기 간 충돌을 회피할 수 있도록 '단순하게' 설정해야 함. (출처: 제20조)
20,다음 중 '항공로(Airway)'의 의미로 가장 적합한 것은?,,회랑(Corridor)의 형태로 설정된 관제구 또는 관제구의 일부를 말한다.,지상 항행안전시설에 의해 보호공역이 설정된 비관제공역을 포함한 모든 통로를 말한다.,항공기 운영자가 임의로 설정하여 국토교통부장관의 승인을 받은 비행 경로를 말한다.,비행정보구역 내에서 모든 항공기가 의무적으로 비행해야 하는 직선 경로를 의미한다.,1,해설: 제5조 제87호에 따른 정의임. (출처: 제5조)
21,민간항공기에 대한 잠재적 위험활동에 대한 협조에 관한 설명으로 옳지 않은 것은?,,위험활동 계획자는 사전에 해당 공역의 항공교통업무제공자와 협의하여야 한다.,공역 제한 또는 임시적인 전체/부분적 항공로 폐쇄는 항공기 운항 효율을 위해 어떠한 경우에도 경감조치로 적용될 수 없다.,위험활동에 필요한 공역의 규모는 가능한 최소로 하여야 한다.,레이저 광선의 방사가 항공기 운항에 장애가 되지 않도록 적절한 조치를 취하여야 한다.,2,해설: 제23조 제2항에 따르면 민간항공기에 대한 잠재적 위험활동에 대한 경감조치로 '공역 제한 또는 임시적인 전체 또는 부분적 항공로 폐쇄 등'을 적용할 수 있다고 명시되어 있습니다. (출처: 제23조)
22,항공정보 지도 자료(Aeronautical Data)와 관련된 규정으로 가장 적절하지 않은 것은?,,항공교통업무 관련 항공정보지도 자료 생산 시 요구되는 정확성 및 무결성 등급에 따라 수행하여야 한다.,디지털데이터세트의 전송 및 저장 과정에서 디지털데이터 오류 탐지 기술을 사용하여야 한다.,무결성 등급에 따른 디지털 자료 오류검출 기법에 관한 세부사항은 '항공정보업무기준'(국토교통부고시) 별표 2에 따른다.,정확성 및 무결성 등급은 국제민간항공기구(ICAO)의 권고사항에 따라 항공교통업무제공자가 자율적으로 설정하여 적용한다.,4,해설: 제24조 제3항에 따라 정확성·무결성 등급 및 디지털 자료 오류검출 기법에 관한 세부사항은 '항공정보업무기준'에 따르도록 의무화되어 있으며 자율적 설정 사항이 아닙니다. (출처: 제24조)
23,항공정보업무기관 및 항공교통업무제공자 간의 협조에 대한 설명으로 <보기>에서 옳은 것을 모두 고른 것은?,"가. 비행장 상태에 관한 정보는 지체 없이 제공되어야 할 정보에 해당한다.
나. 항행시스템의 신설·변경 시 항공정보업무기관의 준비 기간을 고려하여 긴밀히 협의하여야 한다.
다. 항공지도에 영향을 미치는 중요 정보라도 긴급을 요하는 경우 AIRAC 절차와 무관하게 임의의 일자에 즉시 발효할 수 있다.
라. 관측되거나 보고된 화산활동 발생 정보는 지체 없이 제공되어야 한다.","가, 나","가, 나, 라","나, 다, 라","가, 나, 다, 라",2,해설: 다의 경우 제26조 제3항에 따라 항공지도 등에 영향을 미치는 정보는 항공정보관리절차(AIRAC)에 따라 국제적으로 합의된 발효일 등을 충족하도록 원천자료를 제공해야 한다고 명시되어 있습니다. (출처: 제26조)
24,항공교통업무기준상 최저비행고도 및 비상항공기 지원에 대한 설명으로 옳지 않은 것은?,,국토교통부장관은 관할 항공로 및 관제구에 대해 최저비행고도를 정하고 항공정보간행물(AIP)에 고시하여야 한다.,최저비행고도는 해당 구역 내 위치한 통제장애물 상공에 최저장애물회피기준을 적용하여 결정된다.,불법간섭행위가 의심되는 항공기에 대해서는 해당 항공기의 요청에 신속히 응하고 비행안전 관련 정보를 지속적으로 송신해야 한다.,비상항공기 지원에 관한 세부 절차는 국토교통부장관의 승인(Approval)을 받은 후 표준운영절차에 수립하여야 한다.,4,"해설: 제28조 제4항에 따르면 비상항공기 지원에 관한 세부 절차를 시행하기 전에는 국토교통부장관의 '확인(acceptance)'을 받아야 한다고 규정되어 있으며, 법적으로 '승인'과는 구분됩니다. (출처: 제28조)"
25,표류항공기(Strayed aircraft)와 미식별항공기(Unidentified aircraft)에 대한 우발상황 조치로 옳지 않은 것은?,,"표류항공기의 위치파악이 되지 않은 경우, 항행에 영향을 미칠 가능성이 있는 모든 상황을 고려하여 표류가능 지역 관련 시설에 통보한다.","표류항공기의 위치가 확인되었을 때, 신속하게 해당 항공기에 위치 및 취하여야 할 수정조치를 조언한다.","미식별항공기 인지 시 해당 항공기와의 양방향 교신을 시도하며, 필요시 다른 항공기로부터의 정보 입수를 시도한다.","표류 또는 미식별항공기가 불법간섭을 받고 있다고 판단될 때라도, 확실한 증거가 확보되기 전까지는 관련 국가에 정보를 통보해서는 안 된다.",4,해설: 제29조 제1항 제1호 다목에 따르면 불법간섭을 받고 있는 것으로 판단될 때 관계된 국가에 체결된 지역협정에 따라 '즉시 그 정보를 통보하여야 한다'고 명시되어 있습니다. (출처: 제29조)
26,항공교통감시시스템(ATS surveillance system)이 완전히 고장났으나 무선통신이 가능한 경우의 우발절차로 옳은 것은?,,비감시 업무(procedural separation) 제공이 가능한 항공교통관제시설도 예외 없이 즉시 우발절차를 적용해야 한다.,"비감시 업무를 계속 제공하고자 할 경우, 일시적인 비상조치로서 당해 공역에 적용되는 수평 분리최저치의 절반을 적용한다.","비감시 업무를 계속 제공할 수 없는 경우라도, 예상되는 분리최저치 상실을 막기 위해 일시적으로 수직 분리최저치의 절반을 적용하여 비상분리(emergency separation)를 할 수 있다.",감시시스템 고장 상황에 대한 모의관제훈련은 정기교육훈련 과정에 포함하여 연 1회 이상 실시해야 한다.,3,"해설: 제29조의2에 따르면 1. 비감시업무 제공가능 시설은 제외되며, 2. 수평이 아닌 '수직' 분리최저치의 절반을 적용해야 하고, 4. 모의관제훈련은 연 2회 이상 실시해야 합니다. 3번은 올바른 설명입니다. (출처: 제29조의2)"
27,항공교통업무용 시간(Time in ATS)에 대한 설명으로 가장 적절하지 않은 것은?,,"항공교통업무시설은 국제표준시간(UTC)을 사용하며, 자정에서 시작되는 1일 24시간을 시, 분 및 초 단위로 표시해야 한다.","시계 및 시간 기록장치는 일반 통신의 경우 UTC로부터 30초 이내, 데이터링크 통신의 경우 1초 이내의 정확성을 유지해야 한다.",관제탑은 조종사가 다른 방법으로 시간정보를 획득할 수 있는 별도의 절차가 있더라도 항공기가 이륙을 위한 지상이동을 시작하기 전에 반드시 정확한 시간을 조종사에게 제공하여야 한다.,조종사 요구 시 제공하는 시간점검은 가까운 30초를 기준으로 분단위로 하여야 한다.,3,해설: 제30조 제5항에 따르면 '조종사가 다른 방법으로 시간정보를 획득할 수 있는 별도의 절차가 없다면' 지상이동 시작 전에 시간을 제공하여야 한다고 예외 조건이 명시되어 있습니다. (출처: 제30조)
28,항공교통업무에 중대한 영향을 미치는 변경사항 발생 시 안전 위험도 평가(Safety risk assessment)를 시행해야 하는 경우로 규정되지 않은 것은?,,공역 또는 공항의 분리최저치 축소,공역 구조 및 항공교통로 구조의 재구성,"통신시스템, 감시시스템 등 안전에 영향을 미치는 새로운 시스템의 도입",비행장 내 계류장의 항공기 주기장유도선 색상 변경,4,"해설: 제32조 제3항 5호에 '공항의 활주로, 유도로의 물리적 구조의 변경'은 명시되어 있으나 유도선 색상 등 단순 도색 변경은 중대한 변경사항에 포함되어 있지 않습니다. (출처: 제32조)"
29,항공교통관제사의 피로관리(Fatigue Management) 및 예외 적용에 관한 <보기>의 설명 중 옳은 것을 모두 고른 것은?,"가. 국토교통부 소속 항공교통관제시설의 장은 피로관리 기준의 예외적 적용을 스스로 승인할 수 있는 전결 권한을 갖는다.
나. 국토교통부 소속 항공교통관제시설의 장은 관제사의 근무시간 등에 대한 기록을 15개월 이상 보관하여야 한다.
다. 예외 승인을 받은 경우, 예외적 적용 필요성을 반기별로 평가하여야 한다.
라. 예외적 적용 중 중대한 피로위험요인 식별 시 즉시 중단하고 원상회복 조치를 취한 후 국토교통부장관에게 보고하여야 한다.","가, 나","나, 라","다, 라","나, 다, 라",2,"해설: 가의 경우 제32조의3 제1항에 따라 '국토교통부장관'에게 승인을 요청하여야 하며, 다의 경우 동조 제4항에 따라 반기가 아닌 '분기별'로 평가하여야 합니다. (출처: 제32조의2, 제32조의3)"
30,일반참조체계 및 언어능력에 대한 설명으로 옳지 않은 것은?,,수평참조체계(Horizontal Reference System)는 세계측지계(WGS-84) 좌표체계를 사용한다.,수직참조체계(Vertical Reference System)는 평균해면고도(MSL)를 기준으로 사용한다.,시간참조체계로 그레고리 달력과 UTC와 다른 체계를 사용하는 경우에는 항공고시보(NOTAM)를 통하여 즉시 공지하여야 한다.,"항공교통관제시설 간의 통신은 영어를 사용함을 원칙으로 하되, 국내 시설 간에는 한국어를 사용할 수 있다.",3,해설: 제33조 제4항에 따르면 다른 시간참조체계를 사용하는 경우에는 NOTAM이 아니라 '항공정보간행물(AIP) GEN 2.1.2에 수록하여야 한다'고 명시되어 있습니다. (출처: 제33조)
31,항공교통업무 우발계획(Contingency Arrangements) 수립 및 시행에 관한 설명으로 가장 옳지 않은 것은?,,"우발계획에는 항공교통업무 제공에 영향을 미치는 노동쟁의, 자연재해, 공중보건 비상상황 등을 고려해야 한다.",항공교통흐름관리시설의 장은 우발계획 기간 중 업무 조정을 위해 항공교통 운영 우발그룹(AOCG)을 구성·운영할 수 있다.,우발상황으로 인한 항공교통업무의 장애가 예측 가능한 경우에는 24시간 전까지 항공정보업무기관에 통보하여야 한다.,항공교통업무제공자 및 항공교통흐름관리시설의 장은 연 1회 이상 우발계획에 대한 훈련을 실시하여야 한다.,3,해설: 제35조 제6항 단서 조항에 따라 항공교통업무의 장애가 예측 가능한 경우에는 24시간 전이 아니라 '48시간 전까지' 통보하여야 합니다. (출처: 제35조)
32,"비행금지구역, 비행제한구역 및 위험구역의 식별부호 지정 원칙으로 옳지 않은 것은?",,국적표시문자는 RK를 사용한다.,"구역표시 지정어는 비행금지구역 P, 비행제한구역 R, 위험구역 D를 각각 사용한다.",식별부호 조합 시 문자와 숫자 사이에 가독성을 높이기 위해 이음표(-)를 반드시 사용하여야 한다.,혼란 방지를 위해 해당 공역이 폐쇄된 후 최소 1년 동안은 동일한 식별번호를 다시 사용하여서는 아니 된다.,3,"해설: 제35조의2 제3호에 따르면 식별부호 사이에는 괄호, 이음표(-) 등의 기호를 '사용하여서는 아니 된다'고 명시되어 있습니다. (출처: 제35조의2)"
33,항공교통관제업무 수행 중 분리(Separation) 제공에 대한 설명으로 옳은 것은?,"가. D등급 공역 내에서 계기비행(IFR) 항공기와 시계비행(VFR) 항공기 간에는 반드시 분리최저치가 적용되어야 한다.
나. E등급 공역에서 비행하는 IFR 항공기 간에는 분리가 제공된다.
다. 조종사가 요구하는 경우, D, E 등급 공역에서 VMC 하의 특정 구간에서는 분리업무가 제공되지 않는 비행허가를 발부할 수 있다.",가,나,"나, 다","가, 나, 다",3,"해설: 제38조 제4항에 따르면 D등급 공역에서 IFR-VFR 간의 분리는 의무사항으로 열거되어 있지 않으며(C등급 공역에 해당), 다번의 경우 동항 단서조항에 명시된 올바른 설명입니다. (출처: 제38조)"
34,분리최저치(Separation Minima)의 선정 및 적용에 대한 설명 중 옳지 않은 것은?,,"별표 1 및 ICAO Doc 7030에 포함되지 않은 항행안전시설을 사용하는 경우, 국제기준과 다른 분리최저치를 설정할 수 있다.","영공 내 항공로에 대해 다른 분리최저치를 설정할 경우, 관련 항공기 운영자와 협의하여 항공교통업무제공자가 설정한다.","공해 상의 항공로에 대해 다른 분리최저치를 설정할 경우, 인접 국가와 상호 조약을 체결하여 독자적으로 설정한다.",항공로가 분리최저치보다 더 가깝게 인접 공역 경계선에 근접해 있는 경우 관계 항공교통업무제공자와 협의하여 결정한다.,3,해설: 제39조 제1항 제1호 나목에 따라 공해 또는 주권불명의 공역 내 항공로에 대해서는 '지역항행협정(Regional Air Navigation Agreement)'에 따라 설정해야 합니다. (출처: 제39조)
35,항공교통관제시설 간의 관제책임 이양(Transfer of control)에 관한 설명으로 가장 옳지 않은 것은?,,접근관제시설에서 관제탑으로의 도착항공기 관제이양은 지상 참조점을 육안으로 식별하여 접근/착륙을 완료할 수 있다고 판단될 때 등 특정 조건에서 이루어진다.,"지역관제시설이나 관제탑에서 접근관제업무의 일부를 제공하도록 사전 협의된 경우, 지역관제시설에서 관제탑으로 직접 관제이양이 이루어질 수도 있다.","인수시설로부터 관제이양에 대한 명시적 동의가 없더라도, 사전에 정해진 합의서상의 이양지점을 통과하면 관제책임은 자동으로 이양된다.","비행장 주위가 계기비행기상상태(IMC)인 경우, 출발항공기는 이륙 직후 또는 합의된 지점/고도에서 관제탑으로부터 접근관제시설로 이양된다.",3,해설: 제41조 제2항 제1호에 따르면 '인수시설로부터 관제이양에 대한 동의가 없는 경우에는 항공기를 관제이양하여서는 아니된다'고 엄격히 규정하고 있습니다. (출처: 제41조)
36,항공교통관제허가(ATC Clearances) 발부 및 복창(Read-back)에 관한 <보기>의 설명 중 옳은 것을 모두 고른 것은?,"가. 다운스트림 허가를 받는 동안, 항공기는 현재의 항공교통관제시설과 양방향 통신을 단절하고 다운스트림 시설과 교신해야 한다.
나. 사전 조정되지 않은 다운스트림 허가는 기존 비행 프로파일에 영향을 미쳐서는 아니 된다.
다. 관제사-조종사 데이터링크통신(CPDLC) 전문에 대해서는 예외 없이 반드시 음성 복창을 요구해야 한다.
라. 조종사는 2차 감시레이더용 트랜스폰더 배정부호(SSR 코드)를 항상 음성으로 복창해야 한다.","가, 다","나, 라","나, 다, 라","가, 나, 라",2,"해설: 가의 경우 '양방향 통신을 유지'하여야 하며, 다의 경우 'CPDLC 전문에 대한 음성 복창을 요구할 수 없다(별도 정함 제외)'고 제42조에 명시되어 있습니다. (출처: 제42조)"
37,수용량 산정(Capacity Management)에 대한 설명으로 옳지 않은 것은?,,항공교통관제시설은 관할 공역의 관제수용량을 산출하여 항공교통흐름관리시설에 제공하여야 한다.,"관제수용량 산출 시 관제구역의 복잡도, 관제사 업무량, 사용 시스템의 가용성 등을 종합적으로 고려해야 한다.",항공교통관제시설은 관제수용량을 매년 12월 말까지 정기적으로 재검토하여 항공교통흐름관리시설에 통보하여야 한다.,"위험 기상 등 수용량에 부정적 영향을 미치는 상황이 발생한 경우, 축소된 운영수용량(Operational capacity)을 산출하여 통보하여야 한다.",3,해설: 제42조의2 제5항에 따르면 관제수용량은 매년 '2월 말까지' 주기적으로 재검토하고 통보하여야 합니다. (출처: 제42조의2)
