번호,문제,보기1,보기2,보기3,보기4,정답,해설,
11,공항시설법령상 위반행위에 따른 벌칙의 종류가 다른 하나는?,흡연구역 외의 장소에서 담배를 피우는 행위,보호구역에서 지정된 장소가 아님에도 위험물을 보관하거나 저장한 항공관련업무종사자,기름을 넣거나 배출하는 작업 중인 항공기로부터 30미터 이내의 장소에서 담배를 피우는 행위,내화구조와 소화설비를 갖춘 장소 외에서 가연성 액체를 사용하여 발동기를 청소하는 행위,2,"보기 1, 3, 4번은 공항시설법 제56조 금지행위 위반으로 '범칙금' 부과 대상(별표 4)이다. 반면 2번(지상안전관리기준 위반으로 위험물을 무단 보관/저장)은 법 제31조의3제1항제5호 위반으로 '과태료' 부과 대상(별표 3)이다.",
12,"항공등화의 설치기준 중, 활주로등의 평균광도에 대한 해당 등화의 평균광도 비율(광도비) 및 색상 연결이 올바른 것은?","활주로시단등 - 광도비 1.0~1.5, 색상: 흰색","활주로종단등 - 광도비 0.25~0.5, 색상: 붉은색","접지구역등 - 광도비 1.5~2.0, 색상: 흰색","진입등시스템의 측렬 표시등 - 광도비 1.0~1.5, 색상: 붉은색",2,"시행규칙 별표 14에 따르면 활주로종단등은 0.25~0.5 / 붉은색이 맞다. 활주로시단등은 녹색, 접지구역등은 0.5~1.0, 진입등시스템 측렬표시등은 0.5~1.0이다.",
13,항공기 항행안전을 위한 레이저광선 비행보호공역의 설정범위로 틀린 것은?,"레이저광선 위험공역의 수평범위는 비행장 표점으로부터 반지름 18,500미터(10해리)까지이다.","레이저광선 위험공역의 수직범위는 수평범위의 수직상방으로 지표로부터 3,050미터(10,000피트)까지이다.","레이저광선 제한공역의 수직범위는 수평범위의 수직상방으로 지표로부터 1,000미터(약 3,300피트)까지이다.","레이저광선 제한공역의 수평범위는 각 활주로 중심선으로부터 3,700미터까지 확장된 공역과 활주로 중심선을 따라 폭 750미터로 5,600미터까지 연장된 공역이다.",3,"시행규칙 별표 18에 따르면 레이저광선 제한공역의 수직범위는 수평범위의 수직상방으로 지표로부터 600미터(2,000피트)까지이다.",
14,"육상비행장 분류번호가 '3'이고, 항공기 주륜외곽의 폭(OMGWS)이 '6m 이상 9m 미만'인 경우, 규정상 갖추어야 할 활주로의 최소 폭은?",18m,23m,30m,45m,3,"시행규칙 별표 1 제1호 마목 표에 따르면 분류번호 3, OMGWS 6m 이상 9m 미만일 때 육상비행장 활주로의 폭은 30m이다.",
15,항공정보통신시설의 세부 기술기준 중 AFTN(항공고정통신시스템) 및 AMHS(항공정보처리시스템)에 대한 설명으로 틀린 것은?,모든 AFTN 가입자는 고유한 8자리 어드레스를 부여받아야 한다.,AFTN에서 처리된 항공정보는 Store-and-Forward 방식으로 처리되며 30일 이상 보존되어야 한다.,"AMHS의 통신 프로토콜은 ISO의 개방형 상호접속방식(OSI)을 전면적으로 준수해야만 하며, ITU-T 규격은 사용하지 않는다.","AMHS에서 MTA(Message Transfer Agent)는 메시지 전달과 배달을 담당하고, UA(User Agent)는 생성과 전송을 담당한다.",3,시행규칙 별표 16 제2호 차목에 따르면 AMHS의 통신 프로토콜은 'ITU-T X.400'을 준수하여야 한다.,
16,초경량비행장치 퇴치등으로 인하여 책임 없는 제3자가 입은 신체상 손실 보상기준에 대한 설명으로 옳지 않은 것은?,부상범위 및 등급은 「의사상자 등 예우 및 지원에 관한 법률 시행령」을 준용한다.,부상등급 제1급부터 제8급까지의 등급에 해당하지 않는 신체상 손실은 부상등급 외의 부상으로 본다.,부상등급 외의 부상에 대한 기본 보상금액 한도는 사망자 보상금액의 100분의 5를 최고 한도로 한다.,손실보상기관이 인정하더라도 부상등급 외의 부상에 대해서는 사망자 보상금의 100분의 5를 초과하여 진료비를 지급할 수 없다.,4,"시행령 별표 1 제3호 라목 2)에 따르면, 손실보상기관이 필요하다고 인정하는 경우 100분의 5 최고 한도를 초과하여 실제로 지출된 의료비를 지급할 수 있다.",
17,공항시설법령상 위반행위의 횟수에 따른 1차 위반 시 과태료 부과 금액이 '200만원'인 경우는?,지상안전사고가 발생한 사실을 즉시 신고하지 않은 경우,안전검사를 실시하지 않고 차량 및 장비를 운행하도록 한 경우,사전 승인을 받지 않고 차량을 운전하거나 장비 등을 사용한 경우,교통안전 관련 시설 또는 표지를 훼손한 경우,2,"시행규칙 별표 3에 따르면, 1차 위반 기준 지상안전사고 미신고(개인)는 12만, 미신고(단체)는 50만, 무단운전은 25만, 표지 훼손은 5만이다. 안전검사를 실시하지 않은 경우는 법 제69조제2항제3호 위반으로 1차 부과금액이 200만원이다.",
18,항행안전시설 비행검사 수수료의 감경 또는 면제 기준에 대한 설명으로 틀린 것은?,국가기관 또는 지방자치단체의 요청에 따라 시행하는 비행검사는 수수료를 면제한다.,항행안전시설 연구개발을 목적으로 하는 비행검사는 수수료의 100분의 50을 감경한다.,항행안전시설 관리·운영 위탁자가 사용료를 징수하는 시설 외의 항행안전시설 비행검사는 면제한다.,국토교통부가 지원하는 예산으로 수행하는 항공통신·전자 관련 시설 연구개발 목적의 비행검사는 면제한다.,2,시행규칙 별표 21 제3호 나목에 따르면 항행안전시설 연구개발을 목적으로 하는 비행검사는 수수료의 '100분의 30'을 감경한다.,
19,"항행안전시설 설치 실시계획 승인을 받은 자가 승인받은 사항을 변경할 때, 완성검사를 신청할 때 한꺼번에 신고할 수 있는 '경미한 사항의 변경'에 해당하지 않는 것은?",5백제곱미터 이하의 범위에서의 사업면적 축소,총사업비의 100분의 10 이하의 범위에서의 변경,"사업시행기간의 6개월 이하 범위에서의 연장 (단, 토지 등의 수용이 필요하지 않은 경우)",사업시행기간의 1년 이하 범위에서의 단축,4,"시행규칙 제37조제4항에 따르면 사업시행기간 변경은 '6개월 이하'의 범위 내에서만 경미한 변경으로 본다. 1년 이하의 범위는 비행장개발사업 실시계획(영 제10조)의 기준이며, 항행안전시설에는 적용되지 않는다.",
20,전방향표지시설(VOR)의 지상 설치 기술기준 중 진폭변조 성분과 부반송파에 대한 설명으로 옳은 것은?,"도플러방식(DVOR)의 경우 30Hz 주파수 변조 성분의 위상은 방위에 관계없이 고정되며, 이를 기준위상 신호라 한다.","컨벤셔널방식(CVOR)의 경우 30Hz 진폭변조 성분의 위상은 방위에 따라 변하며, 이를 가변위상 신호라 한다.","9,960Hz의 부반송파에 의한 반송파 변조도는 25퍼센트에서 30퍼센트 이내여야 한다.",도플러방식(DVOR)의 30Hz 진폭변조 성분은 방위에 따라 변하는 회전 전계 패턴에 의해 발생한다.,2,"시행규칙 별표 15 제2호 나목에 따르면, CVOR의 30Hz 진폭변조 성분은 방위에 따라 변하는 '가변위상 신호'이다. 반면 DVOR의 진폭변조 성분은 방위에 관계없이 일정한 '기준위상 신호'이다. 9,960Hz 부반송파 변조도는 28~32% 이내여야 한다.",
21,공항시설법령상 '착륙대(着陸帶)'에 대한 정의로 가장 적절한 것은?,항공기의 이륙과 착륙을 위하여 설치된 지표면 또는 수면의 일정한 구역,활주로와 항공기가 활주로를 이탈하는 경우 항공기와 탑승자의 피해를 줄이기 위하여 활주로 주변에 설치하는 안전지대,공항구역 밖의 시설 중 항공기의 이착륙을 돕기 위해 국토교통부장관이 지정한 안전시설,항공기의 안전운항을 위하여 공항 또는 비행장 주변에 장애물의 설치가 제한되는 표면,2,법 제2조제13호에 따르면 착륙대란 활주로와 항공기가 활주로를 이탈하는 경우 항공기와 탑승자의 피해를 줄이기 위하여 활주로 주변에 설치하는 안전지대이다. [출처: 공항시설법 제2조],
22,공항운영자가 징수하는 사용료의 종류 중 항공기의 '최대 이륙중량'을 기준으로 산정하지 않는 것은?,착륙료,조명료,정류료,촬영 및 광고료,4,"시행규칙 별표 5의2 제2호에 따르면 착륙료는 최대 이륙중량, 조명료는 조명을 받는 항공기의 수, 정류료는 항공기의 무게 및 정류시간을 기준으로 한다. 촬영 및 광고료는 중량 기준이 아니다. [출처: 공항시설법 시행규칙 별표 5의2]",
23,항공장애물 표시등 중 '중광도 A형태'의 신호형태 및 배경휘도별 광도 기준으로 옳은 것은?,"고정, 주간 20,000cd","섬광(20~60fpm), 주간 20,000cd","섬광(40~60fpm), 주간 200,000cd","섬광(20~60fpm), 야간 2,000cd",2,"시행규칙 별표 10 제1호나목 표에 따르면 중광도 A형태는 흰색, 섬광(20~60fpm), 주간 20,000cd, 박명 20,000cd, 야간 2,000cd이다. [출처: 공항시설법 시행규칙 별표 10]",
24,공항시설법령상 항행안전시설에 대한 설명으로 옳은 것은?,항행안전시설의 완성검사 업무는 원칙적으로 지방항공청장이 수행한다.,지방항공청장은 완성검사 업무를 수행할 때 항공교통본부장에게 업무를 위임할 수 있다.,항공로용으로 사용되는 항공정보통신시설의 완성검사 권한은 항공교통본부장에게 있다.,"항행안전시설 설치허가를 받은 자는 완성검사 확인증을 발급받기 전에는 해당 시설을 사용할 수 없으며, 예외는 존재하지 않는다.",3,시행규칙 제38조에 따라 항공로용 항공정보통신시설 및 항행안전무선시설의 완성검사는 항공교통본부장이 수행한다. 예외적으로 사용허가를 받은 경우에는 사용 가능하다. [출처: 공항시설법 시행규칙 제38조],
25,공항개발사업 시행허가 시 국토교통부장관이 부가할 수 있는 조건으로 명시되지 않은 것은?,관계 토지 및 시설을 국가에 귀속시킬 것,도로 및 상하수도 기반시설 설치 비용을 시행자가 부담할 것,사업 시행 중 발생할 수 있는 소음·진동에 대한 배상 책임액을 예치할 것,공항의 유지·보수를 위한 시설은 귀속 대상에서 제외할 것,3,"법 제6조제4항에 따르면 국가 귀속 조건 및 기반시설 설치 비용 부담 조건은 명시되어 있으나, 소음·진동 배상 책임액 예치는 명시되어 있지 않다. [출처: 공항시설법 제6조]",
26,공항별 조류충돌예방위원회의 구성 인원 및 공동위원장에 대한 설명으로 옳은 것은?,"20명 이내로 구성하며, 공동위원장은 지방항공청장과 공항운영자가 지명하는 사람이 된다.","20명 이내로 구성하며, 공동위원장은 해당 공항 관할 지방항공청장이 지명하는 사람과 공항운영자가 공동으로 된다.","30명 이내로 구성하며, 위원장은 국토교통부장관이 지명한다.","20명 이내로 구성하며, 위원장은 지방항공청장이 지명한다.",2,"시행규칙 제19조의9에 따르면 공항별 조류충돌예방위원회는 공동위원장 2명을 포함하여 20명 이내로 구성하며, 공동위원장은 관할 지방항공청장이 지명하는 사람과 공항운영자가 공동으로 맡는다. [출처: 공항시설법 시행규칙 제19조의9]",
27,"항공장애물 차폐기준 중 '수평표면 및 원추표면의 차폐'와 관련하여, 후면(그림 1 'B')의 정의로 올바른 것은?",기준장애물 정상에서 기준선의 좌측 및 우측으로 45도 선을 그어 구분한 영역,기준장애물의 높이로 원추표면과 교차하거나 원추표면의 끝부분까지 연장한 평면의 아랫부분,전이표면이나 진입표면 외측경계선에서 상방경사도 7분의 1의 경사면의 아랫부분,기준장애물로부터 하방경사도 10분의 1의 경사면이 수평표면과 만나는 부분,2,시행규칙 별표 6에 따르면 후면은 기준장애물의 높이로 원추표면과 교차하거나 원추표면의 끝부분까지 연장한 평면의 아랫부분이다. [출처: 공항시설법 시행규칙 별표 6],
28,항행안전시설 설치허가 신청서에 첨부해야 하는 서류 중 '성능적합증명'과 관련된 서류가 아닌 것은?,부품표,제작된 시설의 성능 확보의 방법 및 절차를 적은 서류,지상 비행성능 시험방법 및 성능시험 결과서,주변 지형 및 장애물 분포 현황도,4,"시행규칙 제43조에 따른 성능적합증명 신청 서류에는 설계도서, 부품표, 성능 확보 방법·절차서, 시험방법 및 결과서 등이 포함되나, 주변 지형 및 장애물 현황도는 항행안전시설 설치허가 신청 시 포함되는 일반 설계도서와는 구분되는 성능적합증명 전용 서류가 아니다. [출처: 공항시설법 시행규칙 제43조]",
29,공항안전운영기준에 따라 공항운영자가 마련해야 할 비상계획의 대상 비상사태가 아닌 것은?,공항 및 공항 주변 항공기사고,,공항의 자연재해,항공기 연료 유출에 따른 환경오염사고,4,"시행규칙 별표 4 제6호 단서에 따르면 비상계획의 대상은 가. 항공기사고, 나. 비행 중 사고, 다. 폭탄위협 및 불법납치, 라. 자연재해, 마. 응급치료를 필요로 하는 사고이다. 환경오염사고는 조류충돌 예방계획 등과는 별개이며 비상계획 항목에는 명시되지 않는다. [출처: 공항시설법 시행규칙 별표 4]",폭탄위협 및 불법납치사고
30,항공등화 중 '진입등시스템'의 평균광도비 기준과 색상으로 옳은 것은?,"중심선 표시등: 1.0~1.5, 흰색","중심선 표시등: 1.5~2.0, 흰색","측렬 표시등: 0.5~1.0, 흰색","측렬 표시등: 0.25~0.5, 붉은색",2,"시행규칙 별표 14 제2호에 따르면 진입등시스템의 중심선 표시등은 1.5~2.0, 흰색이며, 측렬 표시등은 0.5~1.0, 붉은색이다. [출처: 공항시설법 시행규칙 별표 14]",
31,항공관련업무 수행단체가 지상안전사고 예방을 위해 작성해야 할 '매뉴얼'에 포함되어야 할 내용이 아닌 것은?,위반 사항으로 인해 발생할 수 있는 안전사고 유형과 피해 사례,지상안전사고 예방대책의 내용,항공관련업무종사자 교육 실적 보고 양식,차량 운전 등에 대한 사전 승인 관련 절차,3,"시행규칙 제19조의3에 따르면 매뉴얼에는 안전사고 유형, 피해 사례, 예방대책 등이 포함되어야 한다. 교육 실적 보고 양식은 매뉴얼에 포함될 사항이 아니다. [출처: 공항시설법 시행규칙 제19조의3]",
32,다음 중 표시등 설치를 생략할 수 있는 장애물의 조건으로 옳지 않은 것은?,"표시등이 설치된 구조물로부터 600m 이내이고, 장애물 차폐면보다 낮은 구조물 (철탑 제외)","표시등이 설치된 구조물로부터 45m 이내이고, 그 높이가 설치된 구조물과 같거나 낮은 구조물",장애물 제한표면 밖의 지역에 설치된 높이 150m 이상의 구조물,고광도 표시등을 설치하여 운영되는 주간 장애물 중 높이 150m 이하인 구조물,3,시행규칙 별표 11 제1호 다목에 따르면 장애물 제한표면 밖의 지역에 설치된 높이 150미터 '미만'의 구조물은 표시등 설치를 생략할 수 있다. 150미터 이상인 구조물은 제외되지 않는다. [출처: 공항시설법 시행규칙 별표 11],
33,공항개발기술심의위원회의 위원 해임 및 해촉 사유가 아닌 것은?,심신장애로 인하여 직무를 수행할 수 없게 된 경우,직무와 관련된 비위사실이 있는 경우,위원 스스로 직무 수행이 곤란하다고 의사를 밝힌 경우,위원의 친족이 해당 안건의 이해관계자임을 확인한 경우,4,"시행령 제12조에 명시된 해임/해촉 사유는 심신장애, 비위사실, 직무태만/품위손상, 제척사유 미회피, 본인 의사표명이다. 단순 친족 이해관계자 확인 자체는 제척/회피 사유이지 해촉 사유는 아니다. [출처: 공항시설법 시행령 제12조]",
34,공항시설관리권 등록부에 관한 설명으로 틀린 것은?,공항시설관리권은 물권으로 본다.,공항시설관리권은 민법 중 부동산에 관한 규정을 준용한다.,공항시설관리권의 설정·변경·소멸은 공항시설관리권 등록부에 등록함으로써 효력이 발생한다.,활주로 등 중요 공항시설에 설정된 공항시설관리권은 저당권자의 동의가 없어도 자유롭게 저당권을 설정할 수 있다.,4,법 제27조제2항에 따르면 중요 공항시설에 설정된 공항시설관리권에 대해서는 저당권을 설정할 수 없다. [출처: 공항시설법 제27조],
35,공항시설법 시행령상 지방항공청장에게 위임된 권한으로 명시되지 않은 것은?,개발사업의 시행허가 및 실시계획의 수립,공항시설 사용 휴지·폐지 승인,항행안전시설 설치허가 및 설치기준 고시,이착륙장의 관리,3,"시행령 제55조에 따르면 지방항공청장에게 위임된 권한 중 항행안전시설의 설치허가는 포함되나, 항행안전시설 '설치기준 고시'는 국토교통부장관의 권한이다. [출처: 공항시설법 시행령 제55조]",
36,항공학적 검토 전문기관으로 지정될 수 있는 기관이 아닌 것은?,정부출연연구기관 등의 설립·운영 및 육성에 관한 법률에 따른 연구기관,과학기술분야 정부출연연구기관 등의 설립·운영 및 육성에 관한 법률에 따른 연구기관,민법에 따라 국토교통부장관의 허가를 받아 설립된 비영리법인(항행안전시설 관련),항공안전기술원법에 명시된 항공안전기술원,4,시행규칙 제26조(항공학적 검토 전문기관)에 명시된 기관은 정부출연연구기관 2곳과 국토교통부령 기준 인력/장비 갖춘 법인 등이다. 법 조문에 '항공안전기술원법'은 직접 언급되지 않는다. [출처: 공항시설법 시행규칙 제26조],
37,"이착륙장 설치허가를 받은 자가 준공확인증명서를 받기 전, 국토교통부장관으로부터 사용허가를 받아 시설을 사용할 수 있는 경우로 볼 수 없는 것은?",재해복구 또는 재난수습에 필요한 응급조치를 위하여 사용하려는 경우,사용 허가를 받은 날부터 20일 이내에 준공검사를 완료하는 경우,국토교통부장관으로부터 준공확인 전 사용허가를 받은 경우,건축법에 따른 허가권자로부터 사용승인을 받은 경우,2,"준공확인 전 사용허가 절차는 준공검사 완료 여부와 관계없이 신청을 통해 사용허가를 받는 것이지, 20일 이내에 검사가 완료되어야 한다는 조건은 명시되지 않았다. [출처: 공항시설법 시행령 제14조, 시행규칙 제20조]",
38,공항 및 공항 주변 항공기사고 시 공항운영자가 비상계획을 수립할 때 근거로 삼아야 하는 기준은?,항공안전법 제2조에 따른 항공기사고 조사 기준,국제민간항공조약 부속서 14,재난 및 안전관리 기본법 제34조,공항시설법 제5조에 따른 공항개발 종합계획,2,"시행규칙 별표 4 제6호 단서에 따르면, 공항 비상계획 수립 시 국제민간항공조약 부속서 14의 기준을 따라야 한다. [출처: 공항시설법 시행규칙 별표 4]",
39,"지상조업, 항공기 견인 등에 사용되는 차량의 등록에 관한 설명으로 옳지 않은 것은?",보호구역에서 사용하는 차량은 공항운영자에게 등록해야 한다.,등록된 차량 및 장비는 공항관리기관이 정하는 바에 따라 안전도 검사를 받아야 한다.,등록 신청 시 차량 및 장비의 앞면 및 옆면 사진 각 1매를 제출해야 한다.,계류장에서만 사용되는 장비와 차량은 예외 없이 등록하여 안전도 검사를 받아야 한다.,4,시행규칙 별표 4 제16호 단서에 따르면 계류장에서만 사용되는 장비와 차량은 등록 대상 및 안전도 검사 대상에서 '제외'된다. [출처: 공항시설법 시행규칙 별표 4],
40,항공정보통신시설 중 '음성통신제어시설(VCCS)'에 대한 설명으로 틀린 것은?,"관제탑, 접근관제소 등에서 사용하는 공중 대 지상 통신과 직통전화 통신을 서로 다른 모듈로 배분할 수 있어야 한다.",송신 또는 수신 무선주파수의 선택/해제는 운영석에 할당된 패널의 버튼에 의해 이루어져야 한다.,항공직통전화시설은 국내 관련 관제기관 및 정보제공기관 간의 통신 기능만 수행하며 해외 기관과는 연동되지 않는다.,항공기 사고조사를 위해 교신 내용 녹음장치를 설치해야 한다.,3,시행규칙 별표 16 제2호 아목에 따르면 항공직통전화시설은 '국내외 관련 항공교통관제기관 및 항공정보제공기관' 간의 통신을 지원해야 한다. 해외 기관이 제외되지 않는다. [출처: 공항시설법 시행규칙 별표 16],
41,장애물의 제한이나 제거 요구에 따른 손실보상 및 토지 매수에 관한 설명으로 가장 틀린 것은?,"매수가격은 당사자 간 협의가 원칙이며, 불가 시 2 이상의 감정평가법인등이 평가한 산술평균치로 한다.","감정평가를 위해 당사자는 각각 감정평가법인등 1개를 선정할 수 있으며, 한쪽이 추천하지 않으면 상대방이 2개를 선정할 수 있다.",감정평가에 필요한 비용은 매수청구를 한 장애물소유자등이 전액 부담해야 한다.,손실보상에 관한 당사자 간 별도 합의가 없는 경우 현금으로 보상해야 한다.,3,장애물 매수를 위한 감정평가에 필요한 비용은 국토교통부장관 또는 사업시행자등이 부담하여야 한다 [cite: 216]. 당사자 간 합의가 없으면 현금 보상이 원칙이다 [cite: 216].,
42,항공학적 검토위원회의 구성 및 운영에 대한 설명으로 옳은 것은?,위원회는 위원장 1명을 포함한 20명 이내의 위원으로 구성된다.,"위원회의 회의는 재적위원 과반수의 출석으로 개의하고, 출석위원 3분의 2 이상의 찬성으로 의결한다.",위원회의 위원장이 부득이한 사유로 직무를 수행할 수 없을 때에는 국토교통부장관이 임의로 지명한 위원이 그 직무를 대행한다.,간사는 국토교통부에서 항공학적 검토 업무를 담당하는 과장이 된다.,4,"항공학적 검토위원회에 사무를 처리할 간사 1명을 두며, 간사는 국토교통부에서 항공학적 검토 업무를 담당하는 과장이 된다 [cite: 234]. 위원회는 위원장 포함 10명 이내로 구성되며, 회의는 재적 3분의 2 이상 출석 개의, 출석 과반수 찬성 의결이다 [cite: 233]. 직무 대행은 위원장이 '미리' 지명한 위원이 한다 [cite: 233].",
43,공항운영자가 국토교통부장관에게 변경인가를 받지 않고 '변경신고'만으로 처리할 수 있는 공항운영규정의 경미한 사항에 해당하지 않는 것은?,교육훈련프로그램의 변경,공항의 행정에 관한 조직도 변경,자체 안전점검프로그램의 변경,공항안전운영기준에 미달하는 사항을 보완하기 위한 대체시설의 변경,4,"공항안전운영기준에 미달하는 사항을 보완하기 위한 대체시설이나 대체운영절차에 관한 사항은 심사를 통해 변경인가를 받아야 하는 중대한 사항이다 [cite: 234]. 세부 운영규정, 안전점검프로그램, 교육훈련프로그램, 조직도 등은 경미한 사항으로 신고 대상이다 [cite: 246].",
