번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
11,"현행 항공사업법 과태료 부과 기준 중, 국내항공운송사업자가 거짓 사항을 적은 요금표 등을 갖춰 둔 경우 1회 위반 시 과태료 부과 금액은?",,100만원,150만원,250만원,375만원,3,"[출처: 항공사업법 시행령 별표 1] 거짓 사항을 적은 요금표 등을 갖춰 둔 경우 과태료는 1회 위반 250만원, 2회 위반 375만원, 3회 이상 500만원이다. (참고로 단순 비치하지 않은 경우는 1회 150만원이다.)"
12,현행 항공사업법 시행령 [별표 1]에 따라 항공운임 등 총액을 제공하지 않거나 거짓으로 제공한 외국인 국제항공운송사업자에게 1회 위반 시 부과되는 과태료 금액은?,,200만원,300만원,400만원,500만원,3,"[출처: 항공사업법 시행령 별표 1] 항공운임 등 총액을 제공하지 않거나 거짓으로 제공한 경우(국제항공운송사업자 및 외국인 국제항공운송사업자) 과태료 부과기준은 1회 위반 시 400만원, 2회 위반 시 500만원, 3회 이상 위반 시 500만원이다."
13,"현행 항공사업법 시행규칙 [별표 1] 개별기준에 따르면, 대한민국의 안전이나 사회의 안녕질서에 현저한 위해를 끼칠 사유가 있는 외국인 국제항공운송사업자에 대한 처분 내용은?",,면허취소,사업 일부정지(90일),사업 일부정지(180일),운항증명 취소,3,[출처: 항공사업법 시행규칙 별표 1] '대한민국의 안전이나 사회의 안녕질서에 현저한 위해를 끼칠 사유가 있는 경우' 외국인 국제항공운송사업자에 대한 행정처분 기준은 '사업 일부정지(180일)'이다.
14,현행 항공사업법상 사업정지 처분에 갈음하여 부과할 수 있는 과징금에 대한 설명으로 옳은 것을 모두 고른 것은?,"ㄱ. 국토교통부장관은 항공기사용사업자가 사업정지 처분을 받아야 하는 경우 그 처분을 갈음하여 2억원 이하의 과징금을 부과할 수 있다.
ㄴ. 과징금을 납부해야 할 자가 기한 내에 과징금을 납부하지 않으면 국세 체납처분의 예에 따라 징수한다.
ㄷ. 과징금 부과 대상자가 재해 등으로 재산에 현저한 손실을 입은 경우, 납부기한의 다음 날부터 2년의 범위에서 기한을 연장할 수 있다.",ㄱ,"ㄱ, ㄴ","ㄴ, ㄷ","ㄱ, ㄴ, ㄷ",2,"[출처: 항공사업법 제28조, 제32조 등] ㄷ. 과징금 납부기한의 연장은 일반적으로 그 납부기한의 다음 날부터 '1년'을 초과할 수 없도록 규정되어 있다. ㄱ의 항공기사용사업자 2억원 이하 과징금과 ㄴ의 국세 체납처분 예에 따른 징수는 옳은 설명이다."
15,현행 항공사업법상 국토교통부장관이 공익사업 목적으로 항공운송사업자에게 명할 수 있는 운항명령 대상에 명시적으로 해당하지 않는 것은?,,재해의 구호,항공운송의 발전을 위한 경쟁업체 간의 노선 공동 운영(코드셰어) 강제,국가비상사태 등에 따른 물자의 수송,노선 휴지 또는 폐지로 인하여 국민의 교통불편이 심한 노선의 운항,2,"[출처: 항공사업법 제39조] 국토교통부장관은 재해구호, 비상사태 대응, 노선 휴지/폐지로 인한 교통불편 해소 등을 위해 운항을 명할 수 있으나, 사기업 경쟁업체 간 노선 공동운영을 공익 목적으로 강제할 수 있는 권한은 법령에 명시되어 있지 않다."
16,현행 항공사업법령상 항공운송사업의 양도·양수 및 법인의 합병에 대한 설명으로 가장 옳지 않은 것은?,,항공운송사업을 양도·양수하려는 자는 국토교통부장관의 인가를 받아야 한다.,항공운송사업자인 법인이 다른 법인과 합병하려는 경우에는 국토교통부장관의 인가를 받아야 한다.,사업을 양수한 자나 합병 후 존속하는 법인은 양도인이나 합병 전 법인의 항공운송사업자로서의 지위를 승계한다.,합병 인가를 받은 경우에도 합병 후 존속하는 법인은 그 지위를 승계한 날부터 별도로 30일 이내에 국토교통부장관에게 지위승계 신고를 반드시 하여야 한다.,4,"[출처: 항공사업법 제36조, 제37조] 양도·양수 및 합병 시에는 사전에 '인가'를 받아야 하며, 인가를 받은 경우에는 면허사업의 권리와 의무가 당연히 승계되므로 별도의 지위승계 신고 규정이 강제되지 않는다. (지위승계 신고는 주로 인가 사항이 아닌 '등록'이나 '신고' 사항인 경우에 규정된다)"
17,현행 항공사업법령상 항공교통이용자 피해구제 절차에 대한 설명으로 가장 옳지 않은 것은?,,항공교통사업자는 피해구제 신청을 받은 날부터 14일 이내에 처리결과를 신청인에게 알려야 한다.,"기한 내에 처리결과를 알리기 어려운 경우 그 사유와 처리일정을 신청인에게 알려야 하며, 이 경우 신청을 받은 날부터 최대 60일 이내에 처리결과를 알려야 한다.","한국소비자원에 피해구제가 접수된 경우, 항공교통사업자는 자체적인 피해구제 절차를 즉시 중단하고 해당 민원을 무조건 한국소비자원으로 이관해야 한다.",외국인 국제항공운송사업자가 국내에서 항공권을 판매하는 경우에도 항공교통이용자 피해구제계획을 세우고 이를 국토교통부장관에게 제출해야 한다.,3,"[출처: 항공사업법 제61조 등] 한국소비자원에 피해구제가 접수되었다고 해서 항공사가 자체 피해구제 절차를 즉시 중단하고 이관해야 한다는 법적 강제조항은 없다. 소비자는 자율적으로 소비자원 접수를 병행/선택할 수 있고, 항공사 역시 독자적인 피해구제 절차를 진행할 수 있다."
18,"현행 항공사업법상 항공기대여업, 항공기취급업 등 항공운송사업 외의 사업 등록이 반드시 취소되는 기속적 사유(절대적 취소사유)에 해당하지 않는 것은?",,거짓이나 그 밖의 부정한 방법으로 등록을 한 경우,"법인의 임원이 결격사유에 해당하게 된 경우 (단, 3개월 이내에 해당 임원을 개임한 경우는 제외)",해당 사업의 등록 기준에 미달하게 된 날부터 1개월이 경과한 경우,사업의 전부를 폐업한 경우,3,[출처: 항공사업법 제49조 등] 등록 기준에 미달하게 된 경우 등록을 취소할 수 있는 요건은 미달된 날부터 '3개월' 이내에 그 기준을 충족하지 아니한 경우이다. 1개월 경과만으로는 취소 사유에 바로 편입되지 않는다.
19,현행 항공사업법령상 항공운송사업자가 준수해야 할 항공기 보유 및 등록 요건에 대한 설명으로 옳은 것을 모두 고른 것은?,"ㄱ. 국제항공운송사업자는 면허를 받은 후 사업운영계획서에 따라 항공기를 등록하여야 한다.
ㄴ. 항공기가 1대인 사업자가 해당 항공기를 말소하고 새로운 항공기를 유예기간 내에 등록하지 않으면 면허취소 사유가 될 수 있다.
ㄷ. 소형항공운송사업에 사용되는 항공기는 어떠한 경우에도 대한민국 국적의 항공기이어야 하며, 외국 국적 항공기는 절대 임차하여 사용할 수 없다.",ㄱ,"ㄱ, ㄴ","ㄴ, ㄷ","ㄱ, ㄴ, ㄷ",2,"[출처: 항공사업법 제10조 등] ㄷ. 대한민국 국적 항공기 사용이 원칙이나, 일정한 요건(항공협정, 긴급 수요, 단기 임차 등) 하에 외국 국적 항공기를 임차하여 사용할 수 있는 예외 조항이 존재하므로 '절대 임차하여 사용할 수 없다'는 틀린 설명이다."
20,현행 항공사업법령상 과징금에 관한 설명 중 옳지 않은 것은?,,국토교통부장관은 항공운송사업자가 사업정지 처분을 받아야 하는 위반행위를 한 경우 그 정지를 갈음하여 100억원 이하의 과징금을 부과할 수 있다.,위반행위의 종류와 위반 정도에 따른 과징금의 금액 등 과징금 부과에 필요한 사항은 대통령령으로 정한다.,과징금은 징수 절차의 편의를 위하여 위반행위의 내용과 무관하게 모든 항공사업자에 대해 동일한 상한액(100억원)을 일괄 적용한다.,과징금을 부과받은 자가 납부기한 내에 내지 아니하면 국세 체납처분의 예에 따라 징수한다.,3,"[출처: 항공사업법 제28조, 제32조 등] 항공사업법상 사업의 종류에 따라 과징금 상한액이 다르게 규정되어 있다. 항공운송사업(국제, 국내)은 100억원 이하이나, 소형항공운송사업이나 항공기사용사업 등은 2억원 이하 등으로 부과 상한이 분리되어 있어 동일한 상한액을 일괄 적용한다는 설명은 틀리다."
21,"현행 항공사업법령상 상업서류송달업, 항공운송총대리점업 및 도심공항터미널업의 신고에 관한 설명으로 옳은 것을 모두 고른 것은?","ㄱ. 상업서류송달업을 경영하려는 자는 외국의 상업서류 송달업체로서 50개 이상의 대리점망을 가진 업체와 계약을 체결하거나, 2개 대륙 6개국 이상에 해외지사를 설치했음을 증명해야 한다.
ㄴ. 항공운송총대리점업을 신고하려는 자는 법령에 명시된 기준 자본금 3억 원 이상을 갖추고, 국제항공운송사업자와 체결한 계약서를 제출해야 한다.
ㄷ. 도심공항터미널업을 신고하려는 자는 공항과 도심공항터미널을 왕래하는 교통수단의 확보에 관한 서류를 제출하여야 한다.
ㄹ. 상업서류송달업자가 그 상호를 변경하려는 경우, 사유가 발생한 날부터 60일 이내에 변경 사실을 증명할 수 있는 서류를 첨부하여 신고하여야 한다.","ㄱ, ㄴ","ㄱ, ㄷ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㄹ",3,"[출처: 항공사업법 시행규칙 제52조~제54조] ㄴ. 항공운송총대리점업 신고 시 국제항공운송사업자와 체결한 계약서 및 사업계획서는 필요하나, 법령에 별도의 자본금 요건(예: 3억원)은 명시되어 있지 않다. ㄱ, ㄷ은 명문 규정상 필수 서류 요건이며, ㄹ. 상업서류송달업의 상호 등 변경신고 기한은 60일 이내로 규정되어 있다(항공운송총대리점업과 도심공항터미널업의 변경신고 기한 30일과 차이가 있음에 유의)."
22,현행 항공사업법령상 비행훈련업자의 보증보험등 가입 의무의 예외 사유(보증보험에 가입하지 아니할 수 있는 요건)에 대한 설명으로 가장 옳지 않은 것은?,,해당 사업자의 직전 3개 사업연도의 평균 매출액이 300억원 이상이어야 한다.,해당 사업자의 직전 3개 사업연도의 평균 당기순이익이 30억원 이상이어야 한다.,비행훈련업자가 다른 사업을 겸업하는 경우에는 회사 전체의 손익계산서에 표시된 총 매출액 및 총 당기순이익을 기준으로 산정한다.,해당 비행훈련업자가 최근 3년 이내에 해당 사업을 휴업하거나 폐업한 사실이 없어야 한다.,3,[출처: 항공사업법 시행령 제18조의2] 비행훈련업자가 다른 사업을 겸업하는 경우에는 전체 매출액이 아니라 '항공기를 이용한 비행훈련 업무를 하는 사업에서 발생한 매출액 및 당기순이익'만을 기준으로 산정해야 하므로 3번은 틀린 설명이다.
23,현행 항공사업법령상 항공운임 등 총액에 대한 정보 제공에 관한 규정으로 옳지 않은 것은?,,항공운임 등 총액에는 유류할증료 및 해외 공항의 시설사용료가 포함되어야 한다.,여행업자가 항공권이 포함된 여행상품을 안내하는 경우에도 원칙적으로 항공운임 등 총액을 제공하여야 한다.,"환율에 따라 변동되는 유류할증료는 발권일 등에 따라 변동될 수 있으므로, 구체적인 금액을 명시하는 대신 변동가능 여부만을 표기하면 족하다.","출발·도착 도시 및 일자, 항공권의 종류 등이 구체적으로 명시된 항공권의 경우 유류할증료를 구체적인 금액으로 명시하여야 한다.",3,"[출처: 항공사업법 시행규칙 제25조] 항공운임 등 총액 표기 시, 유류할증료 등 변동 가능한 항목은 그 변동가능 여부를 명시해야 하는 것은 맞으나, 구체적인 일자 등이 명시된 항공권에서는 적용되는 환율로 산정한 유류할증료를 구체적인 금액으로 명시하여야 하므로 단순히 '변동가능 여부만을 표기하면 족하다'는 설명은 틀리다."
24,현행 항공사업법령상 교통약자를 위한 서비스 및 종사자 교육에 관한 설명 중 옳은 것을 모두 고른 것은?,"ㄱ. 공항운영자는 교통약자가 요청한 경우, 공항 외부와 내부의 교통약자 이용편의시설 현황 및 이용방법을 제공해야 한다.
ㄴ. 항공운송사업자는 장애인 등 거동이 불편한 교통약자에게 동행하는 보호자가 있는 경우 인접좌석을 보호자에게 반드시 배정해야 한다.
ㄷ. 교통약자 관련 서비스를 담당하는 객실승무원 및 예약·발권 직원은 관련 훈련 및 교육을 연간 2시간 이상 받아야 한다.
ㄹ. 항공교통사업자는 교통약자 관련 서비스에 대한 불만을 접수한 날부터 14일 이내에 결과를 통지해야 하나, 번역이 필요한 경우 등 특별한 사유가 있으면 최대 30일 이내로 연장할 수 있다.","ㄱ, ㄷ","ㄴ, ㄷ","ㄱ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",1,"[출처: 항공사업법 시행규칙 제64조의2, 4, 5, 6] ㄴ. 인접좌석을 보호자에게 '배정할 수 있다'고 규정되어 있어 재량적 협조 사항이다(반드시 배정해야 하는 의무 규정이 아님). ㄹ. 불만 통지 기한은 원칙 14일이나 특별한 사유가 있는 경우 '60일' 이내에 통지해야 한다. 따라서 옳은 것은 ㄱ, ㄷ이다."
25,현행 항공사업법령상 이동지역 내 지연(Tarmac Delay) 시 조치에 관한 설명으로 가장 옳지 않은 것은?,,"항공운송사업자는 기상 악화나 테러 우려 등 특별한 사유가 없는 한 국내선은 3시간, 국제선은 4시간을 초과하여 항공기를 이동지역에 머무르게 해서는 안 된다.",항공운송사업자는 이동지역에서 지연이 발생하는 경우 30분마다 그 사유 및 진행상황을 승객에게 알려야 한다.,이동지역 지연 시간이 2시간을 초과한 경우 해당 항공교통이용자에게 적절한 음식물을 제공하여야 한다.,승객에게 30분마다 지연 사유 및 진행상황을 알리지 않은 항공운송사업자에게는 1회 위반 시 500만원의 과태료를 부과한다.,4,"[출처: 항공사업법 시행규칙 제61조의2, 시행령 별표 11] 지연사유를 30분마다 알리지 않은 경우 과태료 부과기준은 1회 위반 시 400만원, 2회 및 3회 위반 시 500만원이다. 따라서 1회 위반 시 500만원을 부과한다는 설명은 틀리다."
26,"현행 항공사업법령상 항공기사용사업, 항공기대여업, 초경량비행장치사용사업 등의 '등록기준'에 대한 설명 중 옳은 것을 모두 고른 것은?","ㄱ. 항공기대여업을 영위하려는 법인은 납입자본금 2억5천만원 이상을 갖추어야 하지만, 경량항공기만을 대여하는 경우에는 3천만원 이상으로 한다.
ㄴ. 초경량비행장치사용사업을 영위하려는 개인은 자산평가액 3천만원 이상을 갖추어야 한다.
ㄷ. 항공레저스포츠사업 중 경량항공기 또는 초경량비행장치를 대여하여 주는 서비스를 영위하는 개인은 자산평가액 3억 7,500만원 이상을 갖추어야 하지만, 초경량비행장치만을 대여하는 경우에는 5천만원 이상으로 완화된다.
ㄹ. 항공기사용사업을 영위하려는 법인은 납입자본금 7억5천만원 이상, 개인은 자산평가액 11억 2,500만원 이상을 갖추어야 한다.","ㄱ, ㄴ","ㄱ, ㄴ, ㄹ","ㄴ, ㄷ, ㄹ","ㄱ, ㄷ, ㄹ",2,"[출처: 항공사업법 시행령 별표4, 8, 9, 10] ㄷ. 항공레저스포츠사업 중 대여 서비스 영위 시 초경량비행장치만을 대여하는 경우 자본금/자산평가액 기준은 5천만원이 아니라 '3천만원 이상'으로 완화된다."
27,현행 항공사업법령상 외국 국적 항공기의 국내 유상 운송 허가에 관한 설명으로 가장 옳지 않은 것은?,,외국 국적을 가진 항공기의 사용자가 국내에 도착하는 여객을 유상 운송하려는 경우 원칙적으로 국토교통부장관의 허가를 받아야 한다.,"긴급수출품 운송 등의 사유로 허가를 신청하려는 경우, 운송 예정일 10일 전까지가 아닌 운송개시 전까지 신청서를 제출할 수 있다.",해당 허가를 받은 외국 국적 항공기는 국제선뿐만 아니라 유상으로 국내 각 지역 간의 여객 또는 화물 운송(국내선 구간)도 원칙적으로 자유롭게 할 수 있다.,"허가 기준에는 우리나라가 해당 국가와 체결한 항공협정에 따른 정기편 운항을 보완하는 것일 것, 건전한 시장질서를 해치지 아니할 것 등이 포함된다.",3,"[출처: 항공사업법 시행규칙 제55조, 56조] 항공사업법 시행규칙 제56조(외국항공기의 국내 유상 운송 금지)에 따라, 특별한 허가를 받은 외국 국적 항공기라도 유상으로 국내 각 지역 간의 여객 또는 화물을 운송(Cabotage)해서는 아니 된다고 명시되어 있다."
28,현행 항공사업법령상 행정처분에 갈음하는 과징금 부과한도액의 연결이 올바른 것을 모두 고른 것은?,"ㄱ. 국내항공운송사업자 - 50억원 이하 (단, 법률 텍스트 기준)
ㄴ. 소형항공운송사업자 - 20억원 이하
ㄷ. 항공기사용사업자 - 10억원 이하
ㄹ. 초경량비행장치사용사업자 - 3억원 이하
ㅁ. 항공운송총대리점업자 - 3억원 이하","ㄱ, ㄴ, ㄷ","ㄱ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㅁ","ㄴ, ㄷ, ㄹ, ㅁ",3,"[출처: 항공사업법 제29조, 제41조, 시행규칙 제49조, 53조] ㄹ. 초경량비행장치사용사업자에 대한 과징금 부과 한도는 3억원이 아니라 '3천만원 이하'이다 (시행규칙 제49조 제9항). ㅁ. 상업서류송달업, 항공운송총대리점업 등은 과징금 상한액이 3억원 이하로 적용된다(시행규칙 제53조 제9항). ㄱ은 제시된 법령 텍스트 기준 50억원으로 명시되어 있어 맞다."
29,"현행 항공사업법령상 교육비 반환금액 산정기준(제32조의3 관련)에 따라, 총 교육기간이 1개월 이내인 과정에서 교육시간의 1/2이 경과하기 전(1/3 경과 후)에 교육생이 계약 해지를 요청한 경우 반환금액은?",,이미 납부한 교육비의 3분의 2,이미 납부한 교육비의 2분의 1,이미 납부한 교육비의 3분의 1,반환하지 않음,2,"[출처: 항공사업법 시행규칙 별표 1의3] 총 교육기간 1개월 이내인 경우: 1/3 경과 전은 2/3 반환, 1/2 경과 전은 1/2 반환, 1/2 경과 후는 반환하지 않는다. 1/3이 경과하고 1/2이 경과하기 전인 상태이므로 '이미 납부한 교육비의 1/2'을 반환해야 한다."
30,현행 항공사업법령상 운항시각(Slot)의 배분 및 조정에 대한 설명으로 가장 옳지 않은 것은?,,국토교통부장관은 항공기의 원활한 운항 등을 위해 원칙적으로 항공운송사업자의 신청을 받아 운항시각을 배분 또는 조정한다.,"천재지변으로 공항운영에 차질이 우려되거나, 항공안전사고가 발생할 우려가 있는 경우 국토교통부장관은 직권으로 운항시각을 배분·조정할 수 있다.","배분받은 운항시각을 다른 항공운송사업자와 상호 교환하려는 경우에는 국토교통부장관에게 사후 신고만으로 족하며, 별도의 인가는 필요하지 않다.",국토교통부장관은 운항시각의 활용도 향상을 위하여 배분된 운항시각의 일부가 사용되지 않는 경우 해당 운항시각을 회수할 수 있다.,3,[출처: 항공사업법 시행규칙 제18조 제7항] 항공운송사업자가 배분받은 운항시각을 다른 항공운송사업자와 상호 교환하려는 경우에는 사후 신고가 아니라 '국토교통부장관의 인가'를 받아야 한다.
