번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
11,현행 항공보안법령상 항공기내보안요원에 대한 설명으로 옳지 않은 것은?,,항공운송사업자는 운항 중인 항공기 내의 불법행위를 방지하기 위하여 원칙적으로 모든 국제선 항공기에 항공기내보안요원을 탑승시켜야 한다.,항공기내보안요원은 직무를 수행할 때 기장의 지휘·감독을 받는다.,항공기내보안요원이 되려는 자는 사전에 국토교통부장관이 지정한 교육기관에서 항공보안에 관한 교육을 이수하여야 한다.,항공운송사업자가 고의로 항공기내보안요원을 탑승시키지 아니한 경우에는 제재수단으로 1천만원 이하의 벌금을 부과한다.,4,[출처: 항공보안법 제14조 및 제51조] 4. 항공기내보안요원을 탑승시키지 아니한 항공운송사업자에 대해서는 벌금이 아니라 '1천만원 이하의 과태료'를 부과한다.
12,현행 항공보안법령상 항공보안협의회에 대한 설명으로 가장 옳지 않은 것은?,,국가항공보안계획의 수립 및 변경에 관한 사항을 심의하기 위하여 국토교통부에 항공보안협의회를 둔다.,항공보안협의회의 위원장은 국토교통부 제2차관이 당연직으로 맡게 된다.,공항운영자 및 항공운송사업자는 협의회 위원으로 위촉될 수 있다.,협의회는 관계 행정기관 간의 항공보안 관련 업무의 조정에 관한 사항도 심의한다.,2,[출처: 항공보안법 시행령 제5조] 2. 항공보안협의회의 위원장은 '국토교통부 소속 고위공무원단에 속하는 공무원 중 국토교통부장관이 지명하는 사람'이 된다. 제2차관이 당연직으로 규정되어 있지 않다.
13,현행 항공보안법상 항공기에 대한 불법간섭행위가 발생한 경우의 대응에 관한 설명으로 옳은 것을 모두 고른 것은?,"ㄱ. 국토교통부장관은 불법간섭행위가 발생한 경우 인명 및 재산의 보호를 위하여 신속하고 안전하게 항공기를 운항할 수 있도록 필요한 조치를 하여야 한다.
ㄴ. 항공운송사업자는 불법간섭행위가 발생한 항공기가 관할 공항에 착륙한 경우, 즉시 무력진압 등의 구출 조치를 자체적으로 시행하여야 한다.
ㄷ. 공항운영자등은 불법간섭행위로 인한 위기상황에 대비하여 국가항공보안우발계획에 따라 자체우발계획을 수립하여야 한다.
ㄹ. 불법간섭행위와 관련된 정보가 있는 경우 공항운영자는 지체 없이 언론에 공개하여 승객들이 대피할 수 있도록 하여야 한다.","ㄱ, ㄴ","ㄱ, ㄷ","ㄴ, ㄹ","ㄷ, ㄹ",2,"[출처: 항공보안법 제20조, 제21조] ㄴ. 무력진압은 국가 공권력의 영역이며 민간 항공운송사업자가 자체적으로 시행할 권한이 없다. ㄹ. 불법간섭행위 관련 보안정보는 통제 및 관계기관 전파가 원칙이며, 무분별한 언론 즉각 공개는 규정되어 있지 않다."
14,현행 항공보안법 시행령 [별표] 과태료의 부과기준에 관한 설명으로 옳은 것은?,"ㄱ. 위반행위의 횟수에 따른 가중된 부과기준은 최근 1년간 같은 위반행위로 과태료 부과처분을 받은 경우에 적용한다.
ㄴ. 부과권자는 위반행위가 사소한 부주의나 오류로 인한 것으로 인정되는 경우, 개별기준에 따른 과태료의 3분의 1 범위에서 그 금액을 줄여 부과할 수 있다.
ㄷ. 과태료를 체납하고 있는 위반행위자에 대해서도 위반상태를 시정하기 위하여 노력한 것이 인정되면 과태료를 감경할 수 있다.
ㄹ. 항공운송사업자가 기장의 권한위임 등에 관한 승객 안내를 하지 않은 경우 1차 위반 시 250만원의 과태료를 부과한다.","ㄱ, ㄴ","ㄴ, ㄷ","ㄱ, ㄹ","ㄷ, ㄹ",3,"[출처: 항공보안법 시행령 별표] ㄴ. 과태료의 감경은 개별기준 금액의 '2분의 1' 범위에서 할 수 있다. ㄷ. 일반기준 다목에 따라 ""과태료를 체납하고 있는 위반행위자에 대해서는 그렇지 않다(감경 불가)""고 명시되어 있다."
15,현행 항공보안법 시행규칙 [별표] 수수료 부과기준에 따른 시험기관의 성능검사 수수료 산출 내역에 명시적으로 포함되지 않는 것은?,,재료비 (시험과정에서 발생하는 소모성 재료의 비용),인건비 (엔지니어링 임금단가 적용),시설유지비 (장비가동을 위해서 필요한 소모성 부품의 비용 등),홍보비 (성능검사 제도의 대국민 홍보를 위해 지출한 비용),4,"[출처: 항공보안법 시행규칙 별표] 시행규칙 별표의 성능검사 수수료 산출 기준은 인건비, 재료비, 장비사용료(감가상각비, 시설유지비), 출장비, 그 밖의 비용(운반비 등)으로 규정되어 있으며 홍보비는 포함되지 않는다."
16,현행 항공보안법령상 통과 승객 및 환승 승객의 처리에 대한 설명으로 가장 옳지 않은 것은?,,항공운송사업자는 통과 승객이나 환승 승객이 항공기에서 내릴 때에는 소지한 휴대물품을 모두 가지고 내리도록 조치하여야 한다.,공항운영자는 통과 승객이나 환승 승객과 일반 출발 승객이 보안검색 전에 섞이지 않도록 분리 조치하여야 한다.,"항공운송사업자의 통과 승객에 대한 휴대물품 반출 지시에도 불구하고 해당 승객이 물품을 항공기 내에 남겨둔 경우, 그 승객에 대해서 과태료를 부과할 수 있다.","항공운송사업자의 지시에도 불구하고 승객이 휴대물품을 가지고 내리지 않은 경우, 관리를 소홀히 한 책임으로 무조건 항공운송사업자에게만 과태료가 부과된다.",4,"[출처: 항공보안법 제17조 및 제51조, 시행령 별표] 4. 법 제17조제1항에 따른 지시에도 불구하고 휴대물품을 가지고 내리지 않은 행위자(승객)에게 과태료(1차 50만원)가 부과되도록 규정되어 있다. 사업자에게만 무조건 부과되는 것이 아니다."
17,현행 항공보안법 제50조(양벌규정)에 대한 설명으로 옳은 것은?,,"법인의 대표자가 그 법인의 업무에 관하여 위반행위를 한 경우, 법인에게 해당 조문의 징역형과 벌금형을 병과한다.","개인의 대리인이 그 개인의 업무에 관하여 위반행위를 한 경우, 위반행위를 방지하기 위해 상당한 주의와 감독을 게을리하지 아니하였더라도 개인은 벌금형을 면할 수 없다.",법인이 그 위반행위를 방지하기 위하여 해당 업무에 관하여 상당한 주의와 감독을 게을리하지 아니한 경우에는 법인에게 벌금형을 과하지 아니한다.,양벌규정은 항공기 내 불법행위를 저지른 모든 승객의 소속 법인에 대해서도 예외 없이 일률적으로 적용된다.,3,"[출처: 항공보안법 제50조] 3. 양벌규정 단서에 따라 ""법인 또는 개인이 그 위반행위를 방지하기 위하여 해당 업무에 관하여 상당한 주의와 감독을 게을리하지 아니한 경우에는 그러하지 아니하다""고 명시하여 과실책임주의에 따른 면책 사유를 규정하고 있다."
18,현행 항공보안법령상 항공보안 감독관에 대한 설명으로 옳은 것을 모두 고른 것은?,"ㄱ. 국토교통부장관은 항공보안 업무의 수행 실태를 점검하기 위하여 소속 공무원 중에서 항공보안 감독관을 임명한다.
ㄴ. 감독관은 공항운영자등의 사무소 등에 출입하여 장부·서류, 시설·장비 등을 검사할 수 있다.
ㄷ. 감독관은 직무수행을 위하여 필요한 경우 항공운송사업자의 항공기에 무상으로 탑승하여 기내 보안점검 실태를 점검할 수 있다.
ㄹ. 정당한 사유 없이 감독관의 검사를 거부·방해 또는 기피한 자는 1천만원 이하의 과태료 부과 대상이다.","ㄱ, ㄴ","ㄱ, ㄴ, ㄷ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",2,[출처: 항공보안법 제33조 및 제48조] ㄹ. 감독관의 출입·검사를 거부·방해 또는 기피한 자는 제48조 벌칙 규정에 따라 '1년 이하의 징역 또는 1천만원 이하의 벌금'에 처해지며 단순 과태료 대상이 아니다.
19,현행 항공보안법 시행규칙 [별표] 보안검색교육기관의 시설·장비 및 인력 등의 지정기준에 대한 설명으로 옳지 않은 것은?,,"강의실 면적은 60제곱미터 이상으로 하되, 1제곱미터당 1.2명 이하가 되도록 하여야 한다.",실습실 면적은 45제곱미터 이상이어야 한다.,"화장실은 남녀별로 구분되어야 하며, 급수시설은 상수도를 사용하는 경우를 제외하고는 수질기준에 적합하여야 한다.",항공보안검색요원 초기교육을 실시한 후 직무교육(OJT)은 실제 업무환경과의 분리를 위해 모의공항시설에서만 실시할 수 있도록 조건을 구비하여야 한다.,4,"[출처: 항공보안법 시행규칙 별표] 4. 시행규칙 별표의 시설 기준에 따르면, 초기교육 후 직무교육(OJT)은 '공항시설 또는 모의공항시설'을 이용하여 할 수 있는 조건을 구비하도록 되어 있으므로 모의공항시설에서만 실시해야 한다는 설명은 틀렸다."
20,현행 항공보안법령상 기내 승객의 협조의무와 관련된 설명으로 옳지 않은 것은?,"ㄱ. 승객은 기장의 업무를 위계나 위력으로써 방해하여서는 아니 된다.
ㄴ. 항공운송사업자는 승객이 기내에서 전자기기를 사용하는 경우, 그 종류를 막론하고 어떠한 경우에도 전면 금지할 수 있으며 승객은 이에 따라야 한다.
ㄷ. 항공운송사업자는 기내 불법행위의 종류 및 기장의 권한에 대한 안내를 사전 또는 기내 방송을 통해 실시하여야 한다.
ㄹ. 승객이 항공운송사업자의 금연 지시에도 불구하고 화장실에서 흡연을 한 경우 벌칙 조항의 적용을 받는다.",ㄱ,ㄴ,ㄷ,ㄹ,2,"[출처: 항공보안법 제23조] ㄴ. 운항 중인 항공기의 통신이나 운항에 지장을 줄 수 있는 '국토교통부장관이 정하는 전자기기'의 사용에 대해서만 기장의 제한에 따라야 하며, 모든 전자기기의 사용을 무조건 전면 금지할 수 있는 것은 아니다."
21,현행 항공보안법령상 국가항공보안계획에 관한 설명으로 가장 옳지 않은 것은?,"ㄱ. 국토교통부장관은 항공보안을 확보하기 위하여 5년마다 국가항공보안계획을 수립하여야 한다.
ㄴ. 국토교통부장관은 국가항공보안계획을 수립할 때에는 관계 중앙행정기관의 장과 협의한 후 항공보안협의회의 심의를 거쳐야 한다.
ㄷ. 국가항공보안계획에는 항공보안에 관한 국제동향, 우발계획, 보안장비의 관리·운영에 관한 사항이 포함되어야 한다.
ㄹ. 공항운영자는 국가항공보안계획을 시행하기 위하여 매년 소관 업무에 관한 세부 시행계획을 수립하여 국토교통부장관에게 제출하여야 한다.",ㄱ,ㄴ,ㄷ,ㄹ,4,"[출처: 항공보안법 제7조 및 제10조] ㄹ. 공항운영자등은 국가항공보안계획을 시행하기 위하여 소관 업무에 관한 '세부 시행계획'을 수립·제출하는 것이 아니라, 해당 기관의 '자체보안계획'을 수립하여 국토교통부장관의 승인을 받아야 한다."
22,현행 항공보안법령상 신원조사에 대한 설명으로 옳은 것을 모두 고른 것은?,"ㄱ. 공항운영자등은 보호구역의 업무에 종사하는 사람 중 상시출입증을 발급받으려는 사람에 대하여 관계 기관의 장에게 신원조사를 요청하여야 한다.
ㄴ. 14세 미만인 사람은 신원조사 대상에서 제외한다.
ㄷ. 공항운영자등은 신원조사 결과 국가안전보장에 위해를 끼칠 우려가 있다고 인정되는 사람에 대해서는 보호구역 출입을 제한하여야 한다.
ㄹ. 국토교통부장관은 항공기내보안요원이 되려는 사람에 대하여 신원조사를 요청할 수 없다.","ㄱ, ㄴ","ㄱ, ㄴ, ㄷ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",2,"[출처: 항공보안법 제36조 및 시행령 제18조] ㄹ. 항공운송사업자는 항공기내보안요원이 되려는 사람에 대하여 신원조사를 실시하여야 하며, 국토교통부장관 역시 항공보안업무 관련자(감독관 등)에 대한 신원조사를 요청할 수 있으므로, 항공기내보안요원과 관련된 신원조사 규정이 없거나 요청할 수 없다는 설명은 틀렸다. ㄱ, ㄴ, ㄷ은 모두 법 및 시행령에 명시된 옳은 설명이다."
23,현행 항공보안법상 불법간섭행위에 대한 대응 규정으로 옳지 않은 것을 모두 고른 것은?,"ㄱ. 불법간섭행위가 발생한 항공기가 관할 공항에 착륙한 경우, 국토교통부장관은 해당 항공기가 수색 또는 억류 등의 사유로 지연되는 경우를 제외하고는 기착을 거부하여야 한다.
ㄴ. 공항운영자등은 불법간섭행위로 인한 위기상황에 대비하여 국가항공보안우발계획에 따라 자체우발계획을 수립하여야 한다.
ㄷ. 항공운송사업자는 불법간섭행위가 발생한 경우 지체 없이 국토교통부장관과 국가정보원장에게 해당 사실을 서면으로 보고하여야 한다.
ㄹ. 불법간섭행위가 발생하였을 때, 승객의 안전을 위해 기장은 독자적 판단 하에 관할 항공교통관제기관의 지시를 무시하고 임의의 공항에 비상착륙할 수 있다.","ㄱ, ㄷ","ㄴ, ㄹ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㄹ",3,"[출처: 항공보안법 제20조, 제21조 등] ㄱ. 불법간섭행위가 발생한 항공기가 착륙한 경우 국토교통부장관은 인명과 재산을 보호하기 위하여 신속하고 안전하게 비행을 계속할 수 있도록 필요한 조치를 하여야 하며, 기착을 거부하여야 한다는 규정은 없다. ㄷ. 불법간섭행위 발생 시 국토교통부장관에게 보고해야 하나, '국가정보원장'에게 직접 서면보고하는 조항이 이 조문에 명시되어 있지 않다. ㄹ. 기장의 임의 비상착륙 권한에 대한 예외가 항공보안법상 무제한 허용된 것은 아니며 관제기관 등과의 협조 규정을 따른다."
24,현행 항공보안법령상 승객 및 수하물에 대한 보안검색의 주체 및 책임에 대한 설명으로 가장 옳은 것은?,,국제항공운송사업자는 자사가 운항하는 항공기에 탑승하는 승객의 신체에 대한 보안검색의 일차적 주체이다.,공항운영자는 승객의 위탁수하물이 그 수하물을 위탁한 승객과 같은 항공기로 운송되는지를 확인하여야 할 최종적인 책임이 있다.,"항공운송사업자는 승객이 탑승하기 전 및 하기한 후에 항공기에 대한 보안점검을 실시하여야 하며, 이는 공항운영자에게 위탁할 수 없다.","위탁수하물에 대한 보안검색의 주체는 해당 공항을 운영하는 공항운영자이며, 항공운송사업자는 해당 수하물이 승객과 함께 운송되는지 확인할 의무가 있다.",4,"[출처: 항공보안법 제15조] 4. 승객, 휴대수하물, 위탁수하물에 대한 보안검색은 원칙적으로 '공항운영자'가 실시하며, 항공운송사업자는 위탁수하물이 그 수하물을 위탁한 승객과 같은 항공기로 운송되는지를 확인할 의무(일치성 확인)가 있다. 따라서 1, 2는 주체가 뒤바뀌었으며, 3의 경우 공항운영자등과 협정 체결을 통해 업무 위탁이 불가능한 것은 아니다."
25,현행 항공보안법상 위해물품 반입 허가 및 처리에 대한 설명으로 옳지 않은 것은?,"ㄱ. 공항운영자등은 위해물품을 소지한 승객이 해당 물품을 포기하는 경우, 승객의 동의를 얻어 이를 자체적으로 폐기할 수 있다.
ㄴ. 범인 호송을 위하여 무기를 휴대하려는 경찰관은 탑승 전 국토교통부장관의 허가를 받고 기장에게 통보하여야 한다.
ㄷ. 공항운영자는 보안검색 과정에서 범죄 혐의가 있는 위해물품(불법 무기류 등)이 발견된 경우 즉시 국토교통부장관에게 인계하여야 한다.
ㄹ. 직무상 무기를 휴대하고 탑승한 자는 어떠한 경우에도 기내에서 무기를 사용할 수 없다.","ㄱ, ㄴ","ㄴ, ㄷ","ㄷ, ㄹ","ㄱ, ㄷ, ㄹ",3,"[출처: 항공보안법 제15조의2, 제18조] ㄷ. 범죄 혐의가 있는 위해물품을 발견한 경우 즉시 '국가경찰관서의 장' 또는 '국가정보원장'에게 그 사실을 통보하고 인계하여야 한다(국토교통부장관 아님). ㄹ. 기내 무기 사용은 불법행위 진압 등 직무상 불가피한 긴급 상황에서 법률에 따라 예외적으로 허용될 수 있으므로 '어떠한 경우에도' 사용할 수 없다는 것은 틀린 설명이다."
26,현행 항공보안법상 화물의 보안검색 및 상용화주 제도에 대한 설명으로 옳은 것을 모두 고른 것은?,"ㄱ. 공항운영자는 항공기에 탑재할 화물에 대하여 보안검색을 실시하여야 한다.
ㄴ. 국토교통부장관의 지정을 받은 상용화주가 위탁한 화물에 대해서는 보안검색의 전부 또는 일부를 생략할 수 있다.
ㄷ. 상용화주 지정이 취소된 자는 그 지정이 취소된 날부터 2년이 지나지 아니하면 상용화주로 다시 지정받을 수 없다.
ㄹ. 상용화주가 거짓이나 그 밖의 부정한 방법으로 지정을 받은 경우 국토교통부장관은 그 지정을 취소하여야 한다.","ㄱ, ㄴ, ㄷ","ㄱ, ㄴ, ㄹ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",4,"[출처: 항공보안법 제17조, 제17조의2, 제17조의3] ㄱ, ㄴ, ㄷ, ㄹ 모두 항공보안법령상 화물 보안검색 및 상용화주와 관련된 정확한 설명이다. 부정한 방법으로 지정받은 경우 필수 취소 사유이며, 취소 후 2년 경과 요건도 존재한다."
27,현행 항공보안법령상 항공기 내 불법행위에 대한 처벌 수위 연결로 가장 옳지 않은 것은?,,기장의 권한을 위계로써 방해하여 항공기와 승객의 안전을 해친 사람 - 1년 이상 10년 이하의 징역,운항 중인 항공기의 조종실 출입을 기도하여 기장의 경고에도 불구하고 그 행위를 그치지 아니한 사람 - 5년 이하의 징역,계류 중인 항공기 내에서 기장등에게 폭행을 가하여 기장등의 직무집행을 방해한 사람 - 5년 이하의 징역,"운항 중인 항공기 내에서 폭언, 고성방가 등 소란행위를 하여 항공기와 승객의 안전에 위해를 가한 사람 - 3천만원 이하의 벌금",4,"[출처: 항공보안법 제43조, 제46조, 제49조] 4. 운항 중인 항공기 내에서 폭언, 고성방가 등 소란행위를 한 사람은 3년 이하의 징역 또는 3천만원 이하의 벌금에 처한다. 단순 벌금형만 규정된 것이 아니며 징역형이 포함된다."
