번호,문제,보기1,보기2,보기3,보기4,보기5,정답,해설
111,다음 중 직장 내 압존법 사용에 대한 설명으로 가장 적절한 것은?,직장 내에서는 원칙적으로 압존법을 엄격히 지켜야 한다.,"압존법은 가족이나 사제지간의 사적인 관계에서 쓰이는 것으로, 직장에서는 사용하지 않는 것이 원칙이다.",직급이 같을 때만 압존법을 사용한다.,외부 고객에게 자사 대표를 지칭할 때는 항상 최고 높임말을 써야 한다.,사내 메일 작성 시에만 압존법을 적용한다.,2,"국립국어원에 따르면 압존법(할아버지 앞에서는 아버지를 낮추는 법)은 전통적으로 가족 내에서 쓰였으며, 직장에서는 직급에 맞춰 '부장님, 과장님께서~'처럼 주체를 높이는 것이 맞습니다."
112,"기획서나 제안서를 작성할 때 논리를 구조화하는 방법으로, 결론을 정점에 두고 그 아래에 근거들을 계층적으로 배열하는 방식을 무엇이라 하는가?",스토리텔링,피라미드 구조 (Pyramid Principle),마인드맵,브레인스토밍,만다라트 기법,2,"맥킨지에서 개발한 피라미드 구조는 결론(Main Message)을 가장 먼저 제시하고, 하부 구역에 상호 배타적이고 논리적인 근거(MECE)를 배치하는 방식입니다."
113,비언어적 의사소통(Non-verbal communication) 중 거리를 통해 심리적 관계나 친밀도를 나타내는 공간 언어를 지칭하는 용어는?,Kinesics (신체 언어),Proxemics (공간 언어),Paralanguage (유사 언어),Haptics (접촉 언어),Chronemics (시간 언어),2,"Proxemics(공간학/공간언어)는 사람과 사람 사이의 물리적 거리(친밀거리, 개인거리, 사회거리, 공공거리)가 주는 메시지를 연구합니다."
114,효과적인 피드백(Feedback)을 제공하는 원칙으로 적절하지 않은 것은?,상대방의 인격이나 성격보다는 '행동' 자체에 초점을 맞춘다.,문제가 발생한 후 시간이 한참 지난 뒤에 종합하여 전달한다.,구체적이고 관찰 가능한 사실을 바탕으로 피드백한다.,긍정적인 피드백과 부정적인 피드백을 적절히 조화시킨다.,피드백 수신자의 상황과 입장을 충분히 고려한다.,2,피드백은 문제가 발생하거나 행동을 관찰한 즉시(Timely) 이루어져야 교정 효과가 큽니다.
115,외래어 표기법에 맞는 단어로만 짝지어진 것은?,"플랜카드, 팜플렛","플래카드, 팸플릿","플랜카드, 팸플릿","플래카드, 팜플렛","프랜카드, 판플렛",2,"Placard는 '플래카드', Pamphlet은 '팸플릿'이 올바른 외래어 표기입니다."
116,상대방의 말에 주의를 기울이고 있음을 보여주기 위해 상대방의 말을 자신의 언어로 다시 요약하여 말해주는 적극적 경청의 기법은?,무시하기,탐색하기,반영하기(Reflecting) 및 재진술,논쟁하기,충고하기,3,"반영하기(재진술, 요약)는 내가 상대방의 말을 정확히 이해하고 공감하고 있음을 전달하는 최고의 경청 기술입니다."
117,회의 진행 중 퍼실리테이터(Facilitator)의 역할로 가장 올바른 것은?,회의의 최종 의사결정을 단독으로 내린다.,참석자들의 참여를 유도하고 회의 절차가 원활하게 진행되도록 돕는다.,본인의 주장을 가장 강하게 피력하여 회의를 주도한다.,회의록 작성만을 전담한다.,반대 의견을 가진 참석자를 회의장에서 퇴장시킨다.,2,퍼실리테이터(조력자)는 회의의 내용(Content)에 개입하기보다는 절차(Process)를 관리하여 구성원 전원의 참여와 합의를 이끌어내는 역할입니다.
118,문서의 수발신 대장(대장)을 작성하고 관리하는 주된 목적은?,직원들의 글쓰기 능력을 평가하기 위해,보안 문서를 외부로 유출하기 위해,문서의 접수 및 발송 이력을 명확히 하여 책임 소재를 파악하고 분실을 방지하기 위해,이면지를 재활용하기 위해,종이 사용량을 늘려 예산을 소진하기 위해,3,"수발신 대장은 공문서가 언제, 누구에게서 오고 갔는지를 기록하여 행정의 투명성과 문서 보존/추적을 용이하게 합니다."
119,고객의 불만이 발생했을 때 대처하는 프로세스 중 가장 핵심이 되는 초기 대응 원칙인 'LEAST 기법'에서 'A(Apologize)'가 의미하는 것은?,상황을 분석하라 (Analyze),해결책을 제시하라 (Answer),즉시 사과하라 (Apologize),행동으로 옮겨라 (Act),권한을 부여하라 (Authorize),3,"LEAST는 Listen(경청), Empathize(공감), Apologize(사과), Solve(해결), Thank(감사)의 약자로 클레임 응대의 기본입니다."
120,자신이 전달하고자 하는 바를 명확히 하면서도 상대방의 기분을 상하지 않게 하는 의사소통 방식은?,공격적 의사표현,소극적 의사표현,주장적(Assertive) 의사표현,수동-공격적 의사표현,독단적 의사표현,3,주장적(자기표현적) 의사소통은 타인의 권리와 감정을 존중하면서도 자신의 의견이나 권리를 솔직하고 당당하게 표현하는 방식입니다.
121,"원/달러 환율이 1,200원에서 1,300원으로 상승(원화 가치 하락)했다. 1만 달러를 수출한 기업이 원화로 환전할 때 발생하는 환차익은 얼마인가?",100만 원 손실,100만 원 이익,"1,200만 원 이익","1,300만 원 손실",변동 없음,2,"기존 1만 달러 = 1,200만 원. 변경 후 = 1,300만 원. 환율 상승으로 수출기업은 원화 환전 시 100만 원의 환차익(이익)을 얻습니다."
122,"A 부서는 남자 40명(평균 점수 80점), 여자 60명(평균 점수 90점)으로 구성되어 있다. A 부서 전체의 가중 평균 점수는?",84점,85점,86점,87점,88점,3,가중평균 = (40*80 + 60*90) / 100 = (3200 + 5400) / 100 = 8600 / 100 = 86점.
123,원금이 100만 원이고 연 이자율이 10%인 복리 예금에 가입했다. 3년 후의 원리금 합계는 얼마인가?,130만 원,133.1만 원,135만 원,140만 원,146.4만 원,2,복리 계산: 100만 * (1.1)^3 = 100만 * 1.331 = 133.1만 원입니다.
124,남자 3명과 여자 3명이 원탁에 교대로 앉는 경우의 수는?,12가지,36가지,72가지,120가지,144가지,1,남자를 먼저 원순열로 앉히는 경우: (3-1)! = 2. 여자 3명이 남은 사이 3자리에 앉는 경우: 3! = 6. 2 * 6 = 12가지.
125,"내일 비가 올 확률은 60%이고, 비가 올 때 A가 우산을 가져갈 확률은 90%, 비가 오지 않을 때 우산을 가져갈 확률은 20%이다. 내일 A가 우산을 가져갈 총 확률은?",54%,62%,70%,72%,80%,2,(비O and 우산O) + (비X and 우산O) = (0.6 * 0.9) + (0.4 * 0.2) = 0.54 + 0.08 = 0.62 (62%).
126,"밑면의 반지름이 5cm이고 높이가 10cm인 원기둥의 부피는? (단, 원주율은 π로 표기)",50π ㎤,100π ㎤,150π ㎤,200π ㎤,250π ㎤,5,원기둥 부피 = 밑넓이(πr²) × 높이(h) = 25π × 10 = 250π ㎤.
127,"시계가 4시 20분을 가리킬 때, 시침과 분침이 이루는 각도는?",0도,5도,10도,15도,20도,3,분침은 숫자 4(120도)에 위치. 시침은 4시(120도)에서 20분 동안 이동. 20분 * 0.5도 = 10도. 따라서 두 바늘의 차이는 130도 - 120도 = 10도.
128,"A는 20일, B는 30일 만에 끝내는 일이 있다. 두 사람이 함께 6일 동안 일한 후 나머지를 A가 혼자 마무리했다면, A가 혼자 일한 기간은?",8일,9일,10일,12일,15일,1,"전체 일 1. 하루 작업량 A: 1/20, B: 1/30. 6일간 함께: 6*(1/20+1/30) = 6*(5/60) = 0.5(절반 완성). 남은 절반(0.5)을 A가 혼자 하려면: 0.5 / (1/20) = 10일."
129,"10%의 소금물 400g이 있다. 이 소금물을 가열하여 농도를 16%로 만들려고 할 때, 증발시켜야 하는 물의 양은?",100g,120g,150g,180g,200g,3,소금의 양 = 40g (변함없음). 40 / (400 - x) = 0.16. 400 - x = 40 / 0.16 = 250. x = 150g.
130,"A와 B 두 사람이 1.4km 떨어진 트랙 양 끝에서 마주 보고 동시에 출발했다. A는 시속 4km, B는 시속 3km로 걷는다면, 두 사람이 만나는 데 걸리는 시간은?",10분,12분,14분,15분,20분,2,마주보고 걸으므로 속력 합산 = 7km/h. 시간 = 거리/속력 = 1.4 / 7 = 0.2시간 = 12분.
131,"톱니바퀴 A는 톱니가 40개, B는 60개이다. 두 톱니바퀴가 맞물려 돌아갈 때, A가 3바퀴 도는 동안 B는 몇 바퀴 도는가?",1.5바퀴,2바퀴,2.5바퀴,3바퀴,4.5바퀴,2,맞물린 톱니 수는 같다. 40 * 3 = 120개. B의 회전수 = 120 / 60 = 2바퀴.
132,"어떤 상품의 원가에 25%의 이익을 붙여 정가를 매겼다가, 재고 처분을 위해 정가에서 20%를 할인하여 판매했다. 이 상품의 최종 판매 수익은 어떻게 되는가?",5% 이익,4% 이익,본전 (이익/손실 0),4% 손실,5% 손실,3,원가=100. 정가=125. 할인가 = 125 * 0.8 = 100. 따라서 손익은 0(본전)입니다.
133,"다음 수열의 빈칸에 들어갈 알맞은 숫자는? [2, 3, 5, 8, 12, (  )]",15,16,17,18,19,3,"숫자의 차이가 1, 2, 3, 4로 1씩 증가하는 계차수열입니다. 12 + 5 = 17."
134,지수(Index)에 대한 설명으로 올바른 것은?,기준 연도의 값을 0으로 두고 비교 연도의 변동을 측정한다.,기준 연도의 값을 100으로 두고 비교 연도의 변화 크기를 비율로 나타낸 수치이다.,"모든 데이터를 절대적인 금액(원, 달러 등)으로만 표시한다.",과거와 현재의 데이터를 합산하여 총량을 구한다.,가장 작은 값을 항상 분모로 둔다.,2,"지수는 특정 시점(기준 시점)의 값을 100으로 설정하고, 다른 시점의 값을 이에 대한 상대적 크기(백분율)로 나타낸 것입니다. (예: 물가지수)"
135,"어떤 공장에서 기계 A는 불량률이 2%, 기계 B는 불량률이 5%이다. A기계에서 전체 제품의 60%, B기계에서 40%를 생산할 때, 이 공장의 전체 평균 불량률은?",2.8%,3.0%,3.2%,3.5%,4.0%,3,전체 불량률 = (0.6 * 0.02) + (0.4 * 0.05) = 0.012 + 0.02 = 0.032 (3.2%).
136,"농장에 닭과 돼지가 합쳐서 총 20마리 있다. 다리 수의 합이 56개일 때, 돼지는 몇 마리인가?",8마리,10마리,12마리,14마리,16마리,1,"닭=x, 돼지=y. x+y=20, 2x+4y=56. x=20-y 대입. 2(20-y)+4y=56 -> 40+2y=56 -> 2y=16 -> y=8(돼지)."
137,"가로 240cm, 세로 180cm인 직사각형 모양의 벽면에 남는 공간 없이 크기가 같은 정사각형 타일을 붙이려 한다. 가능한 가장 큰 타일의 한 변의 길이는?",30cm,40cm,50cm,60cm,80cm,4,240과 180의 최대공약수를 구합니다. 60으로 나누면 4와 3. 따라서 최대공약수는 60cm입니다.
138,"A버스는 15분 간격, B버스는 20분 간격으로 터미널에서 출발한다. 오전 8시에 두 버스가 동시에 출발했다면, 다음번에 처음으로 다시 동시에 출발하는 시각은?",오전 8시 40분,오전 8시 45분,오전 9시 00분,오전 9시 15분,오전 9시 30분,3,15와 20의 최소공배수는 60입니다. 따라서 60분(1시간) 후인 오전 9시에 동시에 출발합니다.
139,"전체 200명의 직원 중 남자는 120명, 여자는 80명이다. 이 중 미혼 남자가 30명, 기혼 여자가 50명일 때, 기혼 남자는 몇 명인가?",60명,70명,80명,90명,100명,4,"남자 120명 중 미혼이 30명이므로, 기혼 남자는 120 - 30 = 90명입니다."
140,"어떤 상품의 가격이 작년에 20% 인상되었고, 올해 다시 20% 인상되었다. 작년 초 가격 대비 총 인상률은?",40%,42%,44%,46%,48%,3,원래 가격 100. 작년: 100 * 1.2 = 120. 올해: 120 * 1.2 = 144. 따라서 44% 인상되었습니다.
141,기존의 아이디어나 제품을 변형하여 새로운 아이디어를 도출하는 사고 기법인 'SCAMPER'에서 'M'이 의미하는 것은?,"Modify / Magnify / Minify (수정, 확대, 축소)",Maintain (유지),Move (이동),Merge (병합),Multiply (곱하기),1,"SCAMPER의 M은 기존의 것을 수정하거나 크기를 확대/축소하여 새로운 용도를 찾는 Modify, Magnify, Minify를 의미합니다."
142,문제를 세부 요소로 논리적이고 체계적으로 분해하여 근본 원인을 파악하거나 대안을 찾는 데 사용되는 나뭇가지 모양의 분석 도구는?,간트 차트,마인드맵,로직트리 (Logic Tree),플로우차트,산점도,3,로직트리(논리나무)는 MECE 원칙에 따라 주요 문제를 하위 과제로 세분화하여 구조적으로 파악하는 프레임워크입니다.
143,'결과(또는 문제)의 80%는 20%의 핵심 원인에서 비롯된다'는 원리를 나타내는 용어는?,무어의 법칙,파레토 법칙 (Pareto Principle),롱테일 법칙,메칼프의 법칙,머피의 법칙,2,"파레토 법칙은 이탈리아 경제학자 파레토가 제안한 것으로, 중요한 소수(20%)가 전체 결과의 대다수(80%)를 결정한다는 품질/문제해결 개념입니다."
144,"의사결정 시 구성원들이 감정, 비판, 긍정, 정보 등 6가지 각기 다른 역할을 상징하는 모자를 번갈아 쓰며 다각도로 문제를 검토하는 기법은?",브레인스토밍,여섯 색깔 사고모자 (Six Thinking Hats),시네틱스 (Synectics),강제연결법,델파이 기법,2,에드워드 드 보노가 고안한 '여섯 색깔 사고모자'는 논쟁을 피하고 입체적인 사고를 돕는 평행 사고 기법입니다.
145,명제 '모든 사과는 과일이다'의 부정을 정확히 표현한 것은?,모든 사과는 과일이 아니다.,어떤 사과는 과일이다.,어떤 과일은 사과가 아니다.,어떤 사과는 과일이 아니다.,과일이 아닌 것은 사과가 아니다.,4,'모든 A는 B이다'의 부정은 '어떤 A는 B가 아니다(적어도 하나는 B가 아닌 A가 존재한다)'입니다.
146,"6개 팀이 출전한 축구 대회에서 모든 팀이 서로 한 번씩 경기를 치르는 풀리그(Full-league) 방식으로 대회를 진행할 때, 총 경기 수는?",12경기,15경기,18경기,30경기,36경기,2,n개의 팀이 리그전을 치를 때 총 경기 수는 조합 공식인 n(n-1)/2 입니다. 6*5/2 = 15경기.
147,"자신의 기존 믿음이나 가설에 부합하는 정보만 선택적으로 수용하고, 반대되는 증거는 무시하거나 폄하하는 인지적 오류는?",가용성 휴리스틱,확증 편향 (Confirmation Bias),닻 내림 효과 (Anchoring Effect),후광 효과,사후 확신 편향,2,확증 편향은 사람들이 자기가 보고 싶은 것만 보고 믿고 싶은 것만 믿으려는 심리적 경향을 말합니다.
148,"협상이나 의사결정 과정에서 초기에 제시된 기준점(숫자, 가격 등)이 이후의 판단에 결정적인 영향을 미치는 심리적 현상을 무엇이라 하는가?",매몰비용 오류,틀 짜기 효과 (Framing Effect),닻 내림 효과 (Anchoring Effect),밴드왜건 효과,피그말리온 효과,3,"닻 내림 효과(앵커링 효과)는 배가 닻을 내린 곳에 머물듯, 처음 입력된 정보가 기준점이 되어 합리적 판단을 방해하는 현상입니다."
149,"응집력이 매우 강한 조직에서 반대 의견을 내는 것을 꺼리고, 리더나 다수의 의견에 무비판적으로 동조하여 비합리적인 결정을 내리게 되는 현상은?",집단 지성,시너지 효과,집단사고 (Groupthink),링겔만 효과,방관자 효과,3,어빙 제니스가 명명한 집단사고는 지나친 동질성과 만장일치에 대한 압박으로 인해 비판적 사고가 결여되는 현상입니다.
150,다음 중 문제의 발생 시점에 따른 분류에서 '미래에 발생할 것으로 예상되어 사전에 대비책을 마련해야 하는 문제'를 지칭하는 용어는?,발생형 문제 (과거형),탐색형 문제 (현재형),설정형 문제 (미래형),창의형 문제,구조적 문제,3,"설정형(미래형) 문제는 현 상태에는 이상이 없으나, 경영 목표를 달성하기 위해 자발적으로 설정하고 대비하는 문제입니다."
151,서로 관련이 없어 보이는 두 개 이상의 사물이나 아이디어를 억지로 연결하여 새로운 아이디어를 도출해내는 창의적 사고 기법은?,형태학적 분석법,강제연결법 (Forced Connection),결점열거법,희망열거법,명목집단법,2,강제연결법은 독창성을 극대화하기 위해 전혀 무관한 키워드(예: 자전거 + 우산)를 강제로 결합시켜 아이디어를 내는 기법입니다.
152,"상대방의 주장을 왜곡하거나 과장하여 약점을 만든 뒤, 그 약점을 공격하여 자신의 주장을 정당화하는 논리적 오류는?",성급한 일반화의 오류,인신공격의 오류,허수아비 공격의 오류 (Straw Man Fallacy),순환 논리의 오류,피장파장의 오류,3,"허수아비 공격의 오류는 상대의 진짜 주장이 아닌, 상대방의 주장을 허수아비처럼 약하게 포장한 가짜 주장을 공격하는 오류입니다."
153,구성원들이 얼굴을 맞대지 않고(또는 침묵 상태에서) 서면으로 아이디어를 적어 돌려보며 다른 사람의 아이디어에 자신의 생각을 덧붙이는 방식의 발상 기법은?,브레인스토밍,브레인라이팅 (Brainwriting),시네틱스,스토리보딩,역 브레인스토밍,2,"브레인라이팅은 침묵 속에서 종이에 아이디어를 릴레이로 적어 내려가므로, 내성적인 사람도 동등하게 참여할 수 있는 장점이 있습니다."
154,Kepner-Tregoe(KT) 기법의 4가지 합리적 사고 프로세스에 해당하지 않는 것은?,상황 분석 (Situation Analysis),문제 분석 (Problem Analysis),감성 분석 (Emotional Analysis),결정 분석 (Decision Analysis),잠재적 문제 분석 (Potential Problem Analysis),3,"KT 기법의 4단계는 상황 분석, 문제 분석, 결정 분석, 잠재적 문제 분석(대비)입니다. 감성 분석은 포함되지 않습니다."
155,"어떤 사건의 근본 원인을 찾기 위해 도요타에서 개발한 기법으로, 표면적 원인에 대해 'Why'를 반복적으로 질문하여 파고드는 기법은?",5 Whys,6 Sigma,TQM,PERT,MBO,1,"5 Whys 기법은 문제의 현상에서 출발하여 ""왜?""라는 질문을 보통 5번(또는 그 이상) 반복함으로써 진짜 원인(Root cause)을 밝혀내는 방법입니다. (문제해결 핵심 기법)"
156,"창의적 사고의 특성 중, 고정관념에서 벗어나 다양한 관점에서 상황을 파악하고 여러 범주의 아이디어를 도출하는 능력을 무엇이라 하는가?",유창성 (Fluency),융통성 (Flexibility),독창성 (Originality),정교성 (Elaboration),민감성 (Sensitivity),2,"융통성은 아이디어의 양(유창성)을 넘어 카테고리의 다양성, 즉 발상의 전환 능력을 의미합니다."
157,"기존의 제약 조건이나 과거의 경험, 예산을 모두 백지 상태로 두고 완전히 새로운 시각에서 문제 해결책을 기획하는 사고방식은?",논리적 사고,비판적 사고,전략적 사고,제로베이스 사고 (Zero-base thinking),수평적 사고,4,제로베이스 사고는 '기존의 것은 무시하고 처음부터 다시 생각한다'는 원칙을 적용하여 획기적인 대안을 찾는 방식입니다.
158,다음 중 브레인스토밍 시 절대로 해서는 안 되는 행동은?,말도 안 되는 엉뚱한 아이디어 제시하기,다른 사람의 아이디어에 살 붙이기(편승),제시된 아이디어의 실현 가능성을 즉각적으로 비판하기,최대한 많은 양의 아이디어 쏟아내기,주제와 무관해 보이는 생각도 자유롭게 말하기,3,브레인스토밍의 제1원칙은 '비판 보류(비판 금지)'입니다. 아이디어 창출 단계에서는 판단을 미뤄야 창의성이 억제되지 않습니다.
159,문제 처리 과정의 올바른 순서를 고르시오.,해결안 도출 -> 문제 인식 -> 원인 분석 -> 실행 및 평가,문제 인식 -> 해결안 도출 -> 원인 분석 -> 실행 및 평가,원인 분석 -> 문제 인식 -> 해결안 도출 -> 실행 및 평가,문제 인식 -> 원인 분석 -> 해결안 도출 -> 실행 및 평가,실행 및 평가 -> 문제 인식 -> 원인 분석 -> 해결안 도출,4,"문제 해결의 기본 4단계는 1. 문제 인식(What), 2. 원인 분석(Why), 3. 대안(해결안) 개발(How), 4. 실행 및 평가입니다."
160,"세 사람 A, B, C가 있다. 한 명만 진실을 말하고 두 명은 거짓말을 한다. A: '내가 범인이다.' B: 'C가 범인이다.' C: 'A는 범인이 아니다.' 이 중 진실을 말하는 사람과 범인은 누구인가?","진실: A, 범인: A","진실: B, 범인: C","진실: C, 범인: B","진실: C, 범인: C","진실: B, 범인: A",3,"A와 C의 발언은 모순이 아닙니다(A가 참이면 C는 거짓, A가 거짓이면 C는 참). 만약 C가 진실(A는 범인이 아님)이면 A와 B는 거짓. B가 거짓이므로 C도 범인이 아님. 그럼 남은 B가 범인이 됩니다."
161,데이터의 양이 기하급수적으로 증가하는 환경에서 빅데이터(Big Data)의 특징을 설명하는 3V에 해당하지 않는 것은?,Volume (규모/양),Velocity (속도),Variety (다양성),Value (가치),Verification (검증),5,"빅데이터의 핵심 3요소(3V)는 데이터의 크기(Volume), 생성 속도(Velocity), 형태의 다양성(Variety)입니다. (최근 5V로 Value, Veracity가 추가되기도 함)"
162,"엑셀(Excel)에서 방대한 양의 데이터를 요약하여 항목별 통계(합계, 평균 등)를 한눈에 볼 수 있도록 동적인 표를 만들어주는 기능은?",조건부 서식,VLOOKUP,피벗 테이블 (Pivot Table),매크로,시나리오 관리자,3,"피벗 테이블은 원본 데이터를 손상하지 않고 사용자가 원하는 대로 행, 열, 값의 배치를 바꿔 데이터를 다각도로 요약 분석하는 강력한 기능입니다."
163,"컴퓨터 네트워크에 연결된 기기들이 고유하게 가지는 하드웨어 물리적 주소로, 변경되지 않는 48비트 길이의 식별 번호는?",IP 주소,MAC 주소 (Media Access Control),DNS 주소,게이트웨이 주소,포트 번호,2,"IP 주소는 네트워크 상의 논리적 주소로 변경될 수 있으나, MAC 주소는 랜카드 제조 시 부여되는 물리적인 고유 식별 번호입니다."
164,"정상적인 프로그램이나 파일로 위장하여 사용자가 직접 실행하도록 유도한 뒤, 컴퓨터 내부의 정보를 유출하거나 시스템을 파괴하는 악성코드는?",랜섬웨어,웜 (Worm),트로이 목마 (Trojan Horse),스파이웨어,루트킷,3,"트로이 목마는 그리스 신화처럼 유용한 유틸리티로 위장하여 시스템에 침투하며, 웜(Worm)과 달리 스스로 복제하는 능력은 없습니다."
165,"외부의 불법적인 침입으로부터 내부 네트워크를 보호하기 위해, 미리 설정된 보안 규칙에 따라 들어오고 나가는 네트워크 트래픽을 모니터링하고 제어하는 보안 시스템은?",백신 프로그램,방화벽 (Firewall),VPN,프록시 서버,허브,2,방화벽은 내부망과 외부망(인터넷) 사이에 위치하여 인가되지 않은 접근을 차단하는 1차적인 네트워크 보안 장비입니다.
166,공공 인터넷망을 사용하면서도 암호화 기술을 통해 마치 전용선(사설망)을 구축한 것처럼 안전하게 통신할 수 있게 해주는 기술은?,VPN (Virtual Private Network),VLAN,FTP,Intranet,Extranet,1,VPN(가상 사설망)은 터널링 및 암호화 기법을 사용하여 공중망을 통해 안전하게 사내망 등에 접속하게 해주는 기술입니다.
167,"클라우드 컴퓨팅 서비스 모델 중, 소프트웨어(애플리케이션) 자체를 웹 브라우저를 통해 제공받고 사용한 만큼 비용을 지불하는 형태는?",IaaS (Infrastructure as a Service),PaaS (Platform as a Service),SaaS (Software as a Service),BaaS,DaaS,3,"SaaS는 구글 워크스페이스, MS 365처럼 사용자가 소프트웨어를 설치하지 않고 인터넷을 통해 구독형으로 이용하는 서비스입니다."
168,"문자 메시지(SMS)와 피싱(Phishing)의 합성어로, 무료 쿠폰이나 택배 조회 등의 미끼 문자에 포함된 인터넷 주소(URL)를 클릭하면 악성 앱이 설치되어 소액결제 피해나 개인정보 탈취를 유발하는 사기 수법은?",파밍 (Pharming),스미싱 (Smishing),비싱 (Vishing),메모리 해킹,랜섬웨어,2,스미싱은 주로 스마트폰의 문자 메시지를 통해 링크 클릭을 유도하여 악성코드를 설치하는 금융 사기 수법입니다.
169,"엑셀 함수 중, 찾으려는 값이 표의 여러 열 중 어느 위치에 있든 사용할 수 있고, 배열 또는 참조 범위 내에서 특정 행과 열이 교차하는 지점의 값을 반환하여 VLOOKUP의 한계를 보완하는 조합은?",IF + AND,INDEX + MATCH,SUMIFS + COUNTIFS,HLOOKUP + CHOOSE,OFFSET + ROW,2,MATCH로 행/열 번호를 찾고 INDEX로 해당 위치의 값을 가져오는 조합은 VLOOKUP(왼쪽 기준 검색 제약)보다 유연하고 빠릅니다.
170,"관계형 데이터베이스(RDBMS)에서 데이터를 조회, 삽입, 수정, 삭제하기 위해 사용하는 기본 SQL 명령어 중 '조회(검색)'를 수행하는 명령어는?",INSERT,UPDATE,DELETE,SELECT,DROP,4,SQL의 DML(데이터 조작어) 중 SELECT는 테이블에서 원하는 데이터를 추출(조회)할 때 사용합니다.
