번호,문제,보기1,보기2,보기3,보기4,보기5,정답,해설
19,다음 중 의사소통의 장애 요인으로 볼 수 없는 것은?,송신자와 수신자의 가치관 차이,명확하고 쉬운 어휘 사용,물리적인 소음,정보의 과부하,수신자의 선입견이나 편견,2,명확하고 쉬운 어휘 사용은 원활한 의사소통을 촉진합니다.
20,설명서(Manual)를 작성할 때 가장 중요하게 고려해야 할 사항은?,문학적 표현,객관성과 정확성,작성자의 주관적 평가,화려한 디자인,예상 독자의 수준을 고려한 용어 선택,2,설명서는 사용자가 기기나 시스템을 정확히 조작하도록 안내해야 하므로 객관적이고 정확한 사실 위주로 작성해야 합니다.
21,시속 60km로 달리는 자동차가 150km를 가려면 몇 시간 몇 분이 걸리는가?,2시간 10분,2시간 20분,2시간 30분,2시간 40분,2시간 50분,3,시간 = 거리/속력. 150/60 = 2.5시간. 0.5시간은 30분이므로 2시간 30분입니다.
22,10%의 소금물 300g에 소금을 더 넣어 20%의 소금물로 만들려고 한다. 더 넣어야 할 소금의 양은?,25g,30g,35g,37.5g,40g,4,기존 소금: 30g. 추가할 소금: x. (30+x)/(300+x) = 0.2 -> 30+x = 60+0.2x -> 0.8x = 30 -> x = 37.5g
23,"어떤 일을 A가 혼자 하면 10일, B가 혼자 하면 15일이 걸린다. 두 사람이 함께 일하면 며칠 만에 끝나는가?",4일,5일,6일,7일,8일,3,"A의 하루 작업량: 1/10, B: 1/15. 함께: 1/10 + 1/15 = 3/30 + 2/30 = 5/30 = 1/6. 따라서 6일이 걸립니다."
24,"원가가 5,000원인 물건에 20%의 이익을 붙여 정가를 정했다가, 안 팔려서 정가에서 10%를 할인해 팔았다. 최종 판매가는?","5,300원","5,400원","5,500원","5,600원","5,700원",2,정가 = 5000 * 1.2 = 6000원. 할인가 = 6000 * 0.9 = 5400원.
25,올해 A회사의 신입사원 수는 작년 대비 15% 증가하여 230명이 되었다. 작년 신입사원 수는?,190명,200명,210명,220명,240명,2,작년 인원 x. x * 1.15 = 230. x = 230 / 1.15 = 200명.
26,"1부터 10까지의 자연수 중 하나를 뽑을 때, 소수(prime number)가 나올 확률은?",30%,40%,50%,60%,70%,2,"소수는 2, 3, 5, 7로 총 4개. 4/10 = 40%."
27,"A, B, C, D 네 사람의 평균 몸무게는 70kg이다. E가 합류했더니 평균이 72kg이 되었다. E의 몸무게는?",78kg,80kg,82kg,84kg,86kg,2,네 사람 총합 = 280. 다섯 사람 총합 = 72 * 5 = 360. E = 360 - 280 = 80kg.
28,"100km 거리를 가는데 처음 절반은 시속 40km, 나머지 절반은 시속 60km로 달렸다. 전체 평균 속력은?",48km/h,50km/h,52km/h,54km/h,56km/h,1,시간 = 50/40 + 50/60 = 1.25 + 0.833 = 2.083시간. 전체 거리 100 / (125/60) = 48km/h.
29,"사과 3개와 배 2개의 가격은 8,000원이고, 사과 2개와 배 3개의 가격은 9,500원이다. 배 1개의 가격은?","2,000원","2,500원","3,000원","3,500원","4,000원",2,"3x+2y=8000, 2x+3y=9500. 연립하면 x=1000, y=2500."
30,농도가 8%인 설탕물 200g과 14%인 설탕물 100g을 섞었다. 섞은 설탕물의 농도는?,9%,10%,11%,12%,13%,2,설탕량: 200*0.08 + 100*0.14 = 16+14 = 30g. 총량: 300g. 농도: 30/300 = 10%.
31,길이가 120m인 기차가 초속 20m로 달리고 있다. 길이가 680m인 터널을 완전히 통과하는 데 걸리는 시간은?,34초,36초,38초,40초,42초,4,총 이동거리 = 터널 길이 + 기차 길이 = 680 + 120 = 800m. 시간 = 800 / 20 = 40초.
32,"10명이 참석한 회의에서 모든 사람이 서로 한 번씩 악수를 한다면, 총 악수 횟수는?",45회,50회,55회,90회,100회,1,n(n-1)/2 공식. 10*9/2 = 45회.
33,A 부서의 남녀 비율은 3:2이고 총 인원은 40명이다. 여직원은 몇 명인가?,12명,16명,20명,24명,28명,2,40 * (2/5) = 16명.
34,"시계가 3시 30분을 가리킬 때, 시침과 분침이 이루는 작은 쪽의 각도는?",75도,80도,85도,90도,95도,1,"시침은 1시간에 30도, 1분에 0.5도. 분침은 1분에 6도. 3시 30분 시침: 90+15=105도. 분침: 180도. 180-105=75도."
35,"정가 10,000원짜리 책을 20% 할인된 가격에 샀더니 잔돈으로 1,500원을 받았다. 지불한 금액은?","8,000원","8,500원","9,500원","10,000원","10,500원",3,"할인가=8,000원. 지불액 = 8,000 + 1,500 = 9,500원."
36,한 변의 길이가 5cm인 정육면체의 겉넓이는?,100㎠,125㎠,150㎠,175㎠,200㎠,3,한 면의 넓이 25㎠. 면이 6개이므로 25 * 6 = 150㎠.
37,"어떤 수의 2/5가 40일 때, 이 수의 3/4은?",60,65,70,75,80,4,어떤 수 x = 40 * 5/2 = 100. 100의 3/4 = 75.
38,두 수의 최대공약수가 12이고 최소공배수가 144이다. 두 수의 곱은?,1528,1628,1728,1828,1928,3,두 수의 곱 = 최대공약수 × 최소공배수 = 12 × 144 = 1728.
39,매달 5%씩 복리로 이자가 붙는 적금이 있다. 원금 100만원을 넣었을 때 2개월 뒤의 금액은?,110만원,110.25만원,110.5만원,111만원,111.5만원,2,100 * 1.05 * 1.05 = 110.25만원.
40,100개의 제품 중 불량품이 5개 섞여 있다. 임의로 1개를 꺼낼 때 합격품일 확률은?,5%,90%,95%,99%,100%,3,합격품 95개. 확률 95/100 = 95%.
41,"다음 명제가 참일 때, 반드시 참인 명제는? '비가 오면 길이 막힌다.'",길이 막히면 비가 온다.,비가 오지 않으면 길이 막히지 않는다.,길이 막히지 않으면 비가 오지 않는다.,길이 막히지 않아도 비는 온다.,비가 오지 않아도 길은 막힌다.,3,원명제가 참이면 그 대우명제 '~Q이면 ~P이다'가 항상 참입니다.
42,전제 1: 모든 사람은 죽는다. 전제 2: 소크라테스는 사람이다. 결론: ?,소크라테스는 죽지 않는다.,모든 죽는 것은 소크라테스다.,소크라테스는 죽는다.,소크라테스만 죽는다.,소크라테스는 영원하다.,3,전형적인 삼단논법입니다. A는 B에 속하고 B는 C에 속하므로 A는 C에 속합니다.
43,문제해결의 4단계 절차를 올바른 순서대로 나열한 것은?,원인 분석 - 문제 인식 - 대안 개발 - 실행,문제 인식 - 원인 분석 - 대안 개발 - 실행 및 평가,대안 개발 - 문제 인식 - 원인 분석 - 실행,문제 인식 - 대안 개발 - 원인 분석 - 실행 및 평가,원인 분석 - 대안 개발 - 문제 인식 - 실행 및 평가,2,문제를 먼저 인식하고 원인을 찾은 뒤 해결안(대안)을 만들고 실행합니다.
44,다음 중 브레인스토밍의 4대 원칙이 아닌 초점은?,비판 금지,자유 분방,수량 추구(다산),질적 수준 엄수,타인의 아이디어 편승 및 결합,4,브레인스토밍은 질보다 양을 중시하며 어떤 아이디어든 비판 없이 수용하는 것이 원칙입니다.
45,논리적 오류 중 '모든 사람이 그렇게 생각하니까 그것이 맞다'라고 주장하는 오류는?,인신공격의 오류,군중에 호소하는 오류,성급한 일반화의 오류,흑백논리의 오류,권위에 호소하는 오류,2,다수의 의견이나 대중의 감정에 기대어 주장의 정당성을 입증하려는 오류입니다.
46,SWOT 분석에서 외부 환경의 기회(O)와 내부 역량의 강점(S)을 결합하여 시장을 선도하는 전략은?,SO 전략,ST 전략,WO 전략,WT 전략,SW 전략,1,강점을 살려 기회를 포착하는 공격적 마케팅/사업 전략은 SO 전략입니다.
47,"다섯 명(A, B, C, D, E)이 일렬로 선다. A는 B의 바로 앞이고, C는 정중앙이다. D는 E보다 뒤에 선다. B가 두 번째라면 첫 번째는 누구인가?",A,B,D,E,C,1,A가 B 바로 앞이므로 B가 두 번째면 A는 무조건 첫 번째입니다.
48,피시본 다이어그램(Fishbone Diagram)의 주된 사용 목적은?,예산 배분,문제의 근본 원인 도출,조직도 작성,프로젝트 일정 관리,조직의 비전 설정,2,생선뼈 다이어그램(특성요인도)은 결과(문제)에 영향을 미치는 여러 원인들을 체계적으로 파악하기 위해 사용합니다.
49,"'A가 참이면 B도 참이다'와 'B가 거짓이면 C도 거짓이다'가 모두 참일 때, 반드시 참인 것은?",A가 참이면 C도 참이다.,C가 거짓이면 A도 거짓이다.,A가 참이면 C는 알 수 없다.,B가 참이면 A도 참이다.,B가 거짓이면 A도 거짓이다.,3,"A->B, ~B->~C(= C->B). A와 C는 모두 B로 향하지만 서로의 직접적인 관계는 도출할 수 없습니다."
50,어떤 사건이 발생했을 때 '왜(Why)?'라는 질문을 반복하여 근본 원인을 찾아내는 기법은?,5 Whys,마인드맵,델파이 기법,체크리스트,브레인라이팅,1,도요타에서 창안된 5 Whys 기법은 문제의 표면적 원인에서 나아가 근본 원인(Root cause)을 찾는 기법입니다.
51,비판적 사고(Critical Thinking)의 태도로 가장 거리가 먼 것은?,정보의 출처를 의심하고 검증한다.,자신의 주장이 틀릴 수도 있음을 인정한다.,권위자의 말은 무조건 수용한다.,감정에 치우치지 않고 객관적 근거를 찾는다.,다양한 관점에서 문제를 바라본다.,3,권위자의 말이라도 무비판적으로 수용하지 않고 타당성을 따져보는 것이 비판적 사고입니다.
52,회의 중 대립되는 의견을 하나로 모으기 위해 사용하는 '명목집단기법(NGT)'의 특징은?,끝장 토론을 통해 승자를 정한다.,익명으로 아이디어를 내고 투표로 우선순위를 결정한다.,자유롭게 말로 떠들며 아이디어를 합친다.,전문가 1인의 의견을 전적으로 따른다.,리더가 최종 결정을 단독으로 내린다.,2,NGT는 참석자들이 무기명으로 서면 의견을 내고 이를 취합하여 투표하는 방식입니다.
53,거짓말을 하는 사람을 찾는 문제. A: 'B가 범인이다.' B: 'C가 범인이다.' C: 'B의 말은 거짓이다.' 세 명 중 한 명만 진실을 말한다면 범인은?,A,B,C,알 수 없음,A와 C 모두,2,B와 C는 모순관계이므로 둘 중 하나가 진실. 따라서 A는 거짓(B는 범인 아님). 만약 B가 진실이면 C가 범인이고 B가 범인 아님. (조건 충족)
54,기획력 향상을 위한 'MECE(Mutually Exclusive Collectively Exhaustive)' 원칙의 의미는?,"중복 없이, 누락 없이","최소 비용, 최대 효과","신속하게, 정확하게","자유롭게, 창의적으로","최대 이윤, 최소 손실",1,"맥킨지에서 개발한 논리적 사고의 기본 원칙으로, 상호 배타적이면서 전체를 포괄(중복과 누락 없음)해야 합니다."
55,새로운 시스템 도입으로 인한 직원들의 반발 등과 같이 변화 과정에서 발생하는 저항을 관리하는 기법은?,변화관리(Change Management),시간관리,품질관리,재무관리,갈등관리,1,변화관리는 새로운 정책이나 시스템 도입 시 조직원들의 심리적 저항을 최소화하고 적응을 돕는 활동입니다.
56,문제의 종류 중 '현재 상태와 목표 상태의 차이'로 정의되는 일반적인 문제는?,발생형 문제,탐색형 문제,설정형 문제,창의형 문제,미래형 문제,1,이미 일어난 일탈이나 고장 등으로 인해 원상태로 복구해야 하는 문제는 발생형(과거형) 문제라고 합니다.
57,어떤 일을 수행하는 데 있어 가장 제약이 되는 병목(Bottleneck) 요인을 찾아 개선하는 이론은?,제약이론(TOC),게임이론,상대성이론,학습곡선이론,블루오션 전략,1,제약이론(Theory of Constraints)은 전체 시스템의 성과를 제한하는 병목을 찾아 집중적으로 개선하는 기법입니다.
58,다음 중 창의적 사고를 가로막는 요인이 아닌 것은?,고정관념,실패에 대한 두려움,다양한 경험과 독서,권위주의적 조직 문화,과도한 정보와 데이터 분석,3,다양한 경험과 지식 습득은 창의성을 높이는 긍정적 요인입니다.
59,"A는 B보다 키가 크고, C는 A보다 작다. 가장 키가 큰 사람은?",A,B,C,알 수 없음,D,1,"A>B, A>C 이므로 A가 가장 큽니다. (B와 C의 순서는 알 수 없음)"
60,의사결정 기법 중 다수의 전문가에게 설문조사를 반복하여 합의를 도출하는 방식은?,브레인스토밍,델파이 기법,시네틱스,스토리텔링,강제연결법,2,델파이(Delphi) 기법은 전문가들의 익명성을 보장하며 반복 설문을 통해 의견을 수렴하는 기법입니다.
61,엑셀(Excel)에서 특정 값을 찾아 같은 행의 다른 열에 있는 값을 반환하는 함수는?,SUM,AVERAGE,VLOOKUP,COUNTIF,MATCH,3,VLOOKUP은 표의 가장 왼쪽 열에서 특정 값을 찾아 지정한 열의 값을 반환하는 강력한 함수입니다.
62,웹 브라우저에서 이전에 접속했던 웹사이트의 정보를 컴퓨터에 임시로 저장해 두는 파일은?,쿠키(Cookie),캐시(Cache),스팸(Spam),바이러스(Virus),히스토리(History),1,"쿠키는 사용자의 접속 정보, 장바구니 내역 등을 기억하기 위해 브라우저에 저장되는 작은 텍스트 파일입니다."
63,인터넷에서 파일을 송수신할 때 사용하는 표준 프로토콜은?,HTTP,SMTP,FTP,POP3,UDP,3,FTP(File Transfer Protocol)는 네트워크 상에서 파일을 전송하기 위한 프로토콜입니다.
64,엑셀에서 조건에 맞는 셀의 개수를 세는 함수는?,COUNT,COUNTA,COUNTBLANK,COUNTIF,DCOUNT,4,COUNTIF는 지정한 범위 내에서 주어진 조건에 맞는 셀의 개수를 계산합니다.
65,다음 중 랜섬웨어(Ransomware)에 대한 설명으로 올바른 것은?,사용자 모르게 광고를 띄우는 프로그램,시스템을 잠그거나 데이터를 암호화하여 몸값을 요구하는 악성코드,타인의 컴퓨터 자원을 몰래 사용하여 가상화폐를 채굴하는 프로그램,네트워크 트래픽을 과도하게 발생시켜 서버를 마비시키는 공격,키보드 입력을 가로채는 프로그램,2,랜섬웨어는 파일을 암호화하여 인질로 잡고 금전을 요구하는 악성 소프트웨어입니다.
66,엑셀 단축키 중 '절대 참조($)'를 지정하거나 해제할 때 사용하는 키는?,F2,F4,F5,F12,F9,2,"F4 키를 누르면 셀 참조 방식이 상대, 절대, 혼합 참조로 순차적으로 바뀝니다."
67,여러 대의 컴퓨터를 연결하여 하나의 거대한 컴퓨터처럼 사용할 수 있게 해주는 기술은?,사물인터넷(IoT),클라우드 컴퓨팅(Cloud Computing),그리드 컴퓨팅(Grid Computing),증강현실(AR),블록체인(Blockchain),3,그리드 컴퓨팅은 네트워크에 연결된 수많은 컴퓨터의 유휴 자원을 모아 대규모 연산을 수행하는 기술입니다.
68,데이터베이스(DB)에서 정보를 검색하고 조작하기 위해 사용하는 표준 언어는?,HTML,SQL,C++,Java,XML,2,SQL(Structured Query Language)은 관계형 데이터베이스 시스템에서 자료를 관리하기 위한 언어입니다.
69,인터넷 주소(URL)를 외우기 쉬운 영문자나 한글 등으로 표현한 도메인 이름을 숫자로 된 IP 주소로 변환해주는 시스템은?,DNS,DHCP,VPN,MAC,FTP,1,DNS(Domain Name System)는 사람이 읽을 수 있는 도메인 이름을 기계가 읽을 수 있는 IP 주소로 변환합니다.
70,"보안 기술 중 지문, 홍채, 정맥 등 사람의 신체적 특성을 이용한 인증 방식은?",OTP,공인인증서,바이오인식(Biometrics),CAPTCHA,스마트카드,3,생체인식(바이오인식) 기술은 복제나 도용이 어려워 높은 보안성을 제공합니다.
71,엑셀에서 여러 개의 조건을 모두 만족하는 경우 참(TRUE)을 반환하는 논리 함수는?,OR,AND,NOT,IFERROR,XOR,2,AND 함수는 괄호 안의 모든 조건이 참일 때만 TRUE를 반환합니다.
72,사물에 센서를 부착하여 실시간으로 데이터를 인터넷으로 주고받는 기술은?,빅데이터,인공지능,블록체인,사물인터넷(IoT),클라우드(Cloud),4,"사물인터넷(Internet of Things)은 가전제품, 모바일 장비 등 다양한 사물이 인터넷으로 연결되는 기술입니다."
73,정보보안의 3요소(CIA)에 해당하지 않는 것은?,기밀성(Confidentiality),무결성(Integrity),가용성(Availability),편의성(Convenience),부인 방지(Non-repudiation),4,"정보보안의 3요소는 인가된 사람만 접근 가능한 기밀성, 데이터가 변조되지 않는 무결성, 필요할 때 언제든 접근 가능한 가용성입니다."
74,엑셀에서 현재 날짜와 시간을 함께 반환하는 함수는?,TODAY(),NOW(),DATE(),TIME(),YEAR(),2,"NOW 함수는 현재의 날짜와 시간을, TODAY 함수는 현재 날짜만 반환합니다."
75,이메일을 수신할 때 주로 사용되는 프로토콜은?,SMTP,POP3 / IMAP,FTP,TELNET,SNMP,2,"메일을 송신할 때는 SMTP를, 수신할 때는 POP3나 IMAP을 사용합니다."
76,악의적인 목적으로 가짜 웹사이트를 만들어 사용자의 개인정보나 금융정보를 빼내는 사기 수법은?,피싱(Phishing),스니핑(Sniffing),스푸핑(Spoofing),디도스(DDoS),파밍(Pharming),1,"개인정보(Private data)와 낚시(Fishing)의 합성어로, 위장된 사이트로 유인하여 정보를 탈취합니다."
77,데이터를 중앙 서버가 아닌 분산된 여러 노드에 저장하여 위변조를 막는 탈중앙화 데이터 관리 기술은?,클라우드,메타버스,블록체인(Blockchain),딥러닝,NFT,3,블록체인은 데이터를 블록에 담아 체인 형태로 연결하고 다수에게 분산 저장하여 무결성을 보장합니다.
78,엑셀에서 글자나 문자열의 일부분(왼쪽부터)을 추출하는 함수는?,RIGHT,MID,LEFT,LEN,FIND,3,"LEFT(텍스트, 추출할 개수) 함수를 사용하여 왼쪽부터 원하는 수만큼의 문자를 추출합니다."
79,컴퓨터 하드웨어와 응용 프로그램 사이에서 자원을 관리하고 인터페이스를 제공하는 소프트웨어는?,운영체제(OS),웹 브라우저,워드 프로세서,백신 프로그램,데이터베이스 시스템,1,"Windows, macOS, Linux 등은 컴퓨터 시스템의 전반을 관리하는 운영체제입니다."
80,인터넷 상에서 데이터를 주고받을 때 내용을 암호화하여 보안을 강화한 웹 프로토콜은?,HTTP,HTTPS,TCP,UDP,SSH,2,HTTPS(Hypertext Transfer Protocol Secure)는 기존 HTTP에 SSL/TLS 암호화 계층을 추가한 보안 프로토콜입니다.
81,다음 중 시간 관리의 매트릭스(아이젠하워 매트릭스)에서 가장 먼저 처리해야 할 업무는?,중요하고 긴급한 업무,중요하지만 긴급하지 않은 업무,중요하지 않지만 긴급한 업무,중요하지도 긴급하지도 않은 업무,모든 업무를 동일한 비중으로 처리,1,위기 상황이나 마감이 임박한 프로젝트 등 '중요하고 긴급한 일'에 최우선 순위를 두어야 합니다.
82,"근로기준법상 법정 근로시간을 초과하여 연장근로를 할 경우, 가산하여 지급해야 하는 통상임금의 비율은?",20% 이상,30% 이상,50% 이상,100% 이상,150% 이상,3,"연장, 야간(22:00~06:00), 휴일 근로 시 통상임금의 50%(1.5배) 이상을 가산 지급해야 합니다."
83,프로젝트 공정 관리 기법 중 작업들 간의 선후 관계를 네트워크로 연결하여 주공정선(Critical Path)을 찾아내는 기법은?,간트 차트,PERT/CPM,파레토 차트,마인드맵,WBS(작업분류체계),2,PERT/CPM은 여유 시간이 없는 최장 경로(주공정선)를 분석하여 전체 프로젝트 일정을 관리하는 핵심 기법입니다.
84,"한정된 예산으로 A장비(10만원)와 B장비(15만원)를 합쳐 10대를 사려고 한다. 예산이 120만원일 때, B장비는 최대 몇 대까지 살 수 있는가?",2대,3대,4대,5대,6대,3,"A장비 수 x, B장비 수 y. x+y=10, 10x+15y<=120. x=10-y 대입하면 10(10-y)+15y <= 120 -> 100+5y<=120 -> 5y<=20 -> y<=4. 최대 4대."
85,업무 지시를 받을 때 6하 원칙(5W1H)에 해당하지 않는 것은?,누가(Who),언제(When),어느 정도의 비용으로(How much),무엇을(What),어디서(Where),3,"5W1H는 Who, When, Where, What, Why, How(어떻게)를 의미합니다. (How much는 5W2H에 포함됨)"
86,기회비용(Opportunity Cost)에 대한 설명으로 가장 적절한 것은?,제품을 생산하는 데 들어간 모든 현금 비용,어떤 선택을 함으로써 포기해야 하는 대안들 중 가장 가치가 큰 것,미래에 발생할 것으로 예상되는 잠재적 손실,이미 지불되어 회수할 수 없는 매몰비용,미래의 기대 수익의 단순 합,2,기회비용은 하나의 대안을 선택함에 따라 포기하는 다른 대안의 최대 가치를 말합니다.
87,인적 자원 관리(HRM)의 핵심 기능으로 보기 어려운 것은?,채용 및 배치,평가 및 보상,교육 및 훈련,설비 유지보수,노사 관계 관리,4,설비 유지보수는 물적 자원 관리에 해당합니다.
88,간트 차트(Gantt Chart)의 가장 큰 장점은?,개별 작업의 비용을 정확히 산출할 수 있다.,"각 작업의 시작과 끝, 진행 상황을 막대그래프로 한눈에 볼 수 있다.",작업 간의 복잡한 인과관계를 수학적으로 증명한다.,직원들의 만족도를 측정한다.,개별 작업자의 성과를 평가할 수 있다.,2,일정 관리를 위해 작업 항목별로 가로 막대를 그려 직관적으로 스케줄 파악을 용이하게 합니다.
89,업무 소요 시간을 추정할 때 사용하는 3점 추정법(PERT)의 계산식에 들어가지 않는 시간은?,낙관치(가장 짧은 시간),비관치(가장 긴 시간),최빈치(가장 확률이 높은 시간),표준치(규정에 정해진 시간),예상치(가장 무난한 시간),4,PERT의 기대시간 = (낙관치 + 4*최빈치 + 비관치) / 6 으로 계산합니다.
90,효과적인 예산 관리를 위해 실제 지출액과 예산액의 차이를 분석하는 것을 무엇이라 하는가?,손익분기점 분석,차이 분석(Variance Analysis),수요 예측,원가 계산,현금흐름 분석,2,예산과 실제 집행 내역의 차이를 분석하여 낭비 요인을 찾고 통제하는 과정입니다.
91,물품 관리의 원칙 중 '재고를 최소화하고 필요할 때 필요한 만큼만 공급받는' 생산/물류 시스템은?,JIT (Just-In-Time),ERP (Enterprise Resource Planning),CRM (Customer Relationship Management),MBO (Management by Objectives),BPR (Business Process Reengineering),1,도요타의 적시생산방식(JIT)은 재고 유지 비용을 줄이는 혁신적인 물적 자원 관리 기법입니다.
92,"회의 시간 1시간, 참석자 5명, 1인당 시간당 인건비가 30,000원이다. 이 회의의 인건비 자원 소모 비용은?","30,000원","60,000원","120,000원","150,000원","180,000원",4,"5명 × 1시간 × 30,000원 = 150,000원."
