번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
11,항공교통관제사 피로관리 및 인력수급계획에 관한 내용 중 <보기>의 ( ) 안에 들어갈 숫자를 바르게 나열한 것은?,"가. 예상하지 못한 갑작스러운 상황 변화에 따라 근무시간 제한을 ( A )개월 미만으로 일시적 적용 불가 시 경감조치를 수행해야 한다.
나. 국토교통부 소속 항공교통관제시설의 장은 관제사의 근무시간 등에 대한 기록을 ( B )개월 이상 보관하여야 한다.
다. 인력수급계획은 최근 ( C )년 이상의 항공교통관제량 추이와 최소 ( D )년 이상의 항공여건 변화를 고려하여 매년 11월 말까지 수립한다.","A: 1, B: 15, C: 10, D: 5","A: 3, B: 12, C: 10, D: 5","A: 1, B: 15, C: 5, D: 10","A: 3, B: 30, C: 10, D: 3",1,"[항공교통업무기준 제32조의2, 제96조] 일시적 예외는 1개월 미만(A), 기록 보관은 15개월 이상(B). 인력수급계획은 최근 10년 이상 추이(C), 최소 5년 이상 여건변화(D)를 고려한다."
12,공항정보자동방송업무(ATIS)의 내용 및 제공 순서에 대한 설명으로 가장 옳지 않은 것은?,,음성-공항정보자동방송(Voice-ATIS) 메시지는 인적수행능력을 고려하여 가능한 30초를 초과하지 않아야 한다.,"기상상태가 급격히 변화하여 ATIS에 포함이 곤란한 경우, 첫 교신 시 기상정보를 관제시설에서 제공한다는 내용을 ATIS에 포함해야 한다.",도착정보만을 포함하는 ATIS 메시지에서 '사용 활주로 표면상태'는 '시정 및 활주로가시범위(RVR)' 항목보다 먼저 방송된다.,"데이터링크-ATIS(D-ATIS)를 이용해 Voice-ATIS를 보충할 경우, D-ATIS의 갱신은 Voice-ATIS 갱신 후 5분 이내에 순차적으로 이루어져야 한다.",4,"[항공교통업무기준 제48조제5항] D-ATIS와 Voice-ATIS가 보충적으로 운영될 때, 공항정보자동방송의 갱신이 필요한 경우 두 가지는 '동시에' 갱신되어야 한다."
13,항공교통관제허가 발부 및 조종사 복창(Read-back) 요구사항에 관련된 내용으로 옳은 것으로만 묶인 것은?,"가. 조종사는 사용활주로, 고도계 수정치, 2차 감시레이더용 트랜스폰더 배정부호를 반드시 복창해야 한다.
나. 조종사는 전이고도(transition altitude)를 반드시 복창해야 하지만, 전이비행고도(transition level)는 복창 예외 대상이다.
다. 관제사가 다운스트림허가를 발부할 때 사전 조정되지 않은 허가는 해당 관제시설의 관할공역 외에서 항공기의 기존 비행 프로파일에 영향을 미쳐서는 안 된다.
라. 항공교통업무제공자가 별도로 정하지 않는 한, 관제사-조종사 데이터링크통신(CPDLC) 전문에 대해서도 반드시 음성 복창을 요구해야 한다.","가, 다","나, 라","가, 다, 라","가, 나, 다",1,"[항공교통업무기준 제42조] 나: 조종사는 '전이비행고도(transition level)'를 복창하여야 한다. 라: 별도로 정하는 경우를 제외하고, CPDLC 전문에 대한 음성 복창을 요구할 수 없다."
14,항공교통업무 통계자료 작성 및 자료 관리에 관한 설명 중 가장 옳지 않은 것은?,,매월 항공교통량 통계자료는 다음 달 7일까지 국토교통부장관에게 제출해야 한다.,항공기 재착륙 및 이륙포기 교통량은 분기별로 작성하여 그 다음 분기 첫째 달 7일까지 제출해야 한다.,항공기 사고 및 피랍과 관련된 녹음·녹화자료는 소송 등에 대비하여 조사 처리 완료 후 3년간 추가로 보존하여야 한다.,"비행정보실은 영공통과 항공기 운항 대수, 항공기 조난정보 접수 실적 등을 매일 18:00 기준으로 정리하여 업무일지에 기록하여야 한다.",4,"[항공교통업무기준 제100조, 제101조] 비행정보실의 통계자료(영공통과, 조난정보 등)는 매일 '24:00'을 기준으로 정리하여 업무일지에 기록하여야 한다 (18:00이 아님)."
15,수직분리 및 고도계수정치 절차에 대한 설명으로 옳은 것은?,,"관제 항공기에 대한 수직 분리최저치(VSM)는 FL290 미만에서 300m(1,000ft), FL290 이상에서 600m(2,000ft)를 적용하는 것이 일반적 원칙이다.","전이층을 통과하는 동안 항공기 수직 위치는 상승 시 '고도(altitude)', 강하 시 '비행고도(flight level)'로 표현되어야 한다.","비정밀 접근 활주로의 시단이 비행장 표고보다 1m 낮은 경우, 조종사에게 활주로 시단 표고에 대한 QFE를 제공하여야 한다.",항공기에 제공되는 고도계수정치(QNH)는 헥토파스칼의 소수점 첫째 자리에서 반올림하여 제공한다.,1,"[항공교통업무기준 별표1 4.10, 5.3] 보기 2: 상승 시 '비행고도', 강하 시 '고도'로 표현한다. 보기 3: 비정밀 접근의 경우 활주로 시단이 표고보다 2m(7ft) 이상 낮을 경우에만 시단 기준 QFE를 제공한다. 보기 4: 소수점 첫째 자리 이하를 '버림'하여 제공한다."
16,항공교통관제사 자격 및 교육훈련에 관한 내용으로 올바르지 않은 것은?,,초기교육훈련을 이수한 자가 자격증명의 한정을 취득하기 위해 지정된 교관의 지도하에 실시하는 교육훈련은 직무교육훈련이다.,"정기 심사는 자격증명 한정 취득 후 최초의 경우 2년 이내에 실시하고, 이후에는 직전 심사 합격일로부터 2년이 되는 날이 속하는 달의 말일까지 실시한다.",고의 또는 중대한 과실로 항공기사고를 발생시킨 관제사에게는 업무수행 능력 유지를 위해 '특별교육훈련'만을 실시하여야 한다.,운영절차 또는 장비의 변경 및 신설 시 관련 사항을 숙지하기 위해 실시하는 훈련은 '전문교육훈련'이다.,3,"[항공교통업무기준 제71조, 74조] 사고 유발 등 수시 심사 목적의 훈련은 '한정회복교육훈련(시정교육훈련)'에 해당한다. 특별교육훈련은 업무수행 능력 유지/보완을 위해 필요시 실시하는 별도의 훈련이다."
17,잠재적 위험활동에 대한 협조(제23조)에 관한 사항으로 가장 옳지 않은 것은?,,민간항공기에 대한 잠재적 위험활동의 위치나 시간은 가능한 한 항공로 폐쇄나 경제고도의 봉쇄가 발생하지 않도록 설정해야 한다.,잠재적 위험활동에 필요한 공역의 규모는 상황에 관계없이 설정자가 요구하는 최대 반경으로 보장되어야 한다.,비상상황으로 인해 활동을 중지시켜야 할 경우에 대비하여 항공교통업무시설과 위험행위 기관 간에 직통통신망을 설치해야 한다.,추가적인 공역 수용량 제공을 위해 유보된 공역의 탄력적 사용을 위한 절차를 수립할 수 있다.,2,[항공교통업무기준 제23조제1항제2호나목] 잠재적 위험활동에 필요한 공역의 규모는 '가능한 최소'로 설정해야 한다.
18,비행계획 제출 및 위치보고 절차(별표1)에 대한 설명 중 <보기>에서 틀린 것을 모두 고른 것은?,"가. 출발 전에 제출하는 비행계획은 비행 시작(이동예정시간) 120시간을 초과해서 제출되지 않아야 한다.
나. 비관제항공기의 이동예정시간(EOBT)이 30분을 초과하여 지연될 때에는 새로운 비행계획을 제출하거나 수정해야 한다.
다. 주요지점으로 정의되지 않은 비행경로 상에서의 위치보고는 비행시작 30분 후에 최초로 실시하고 이후 매 1시간 간격으로 이루어져야 한다.
라. 위치보고의 필수 항목에는 항공기 식별부호, 위치, 시간, 비행고도, 다음 주요지점만 포함되며 '다음 통과지점 및 시간'은 항상 생략된다.","가, 나","나, 라","다, 라","가, 나, 라",2,"[항공교통업무기준 별표1 4.4, 4.11] 나: 비관제항공기의 지연 기준은 '1시간'을 초과할 때이다(관제항공기가 30분). 라: '다음 통과지점 및 시간(Next position and time over)'은 필수 보고 항목이며, 지역항행협정에 명시된 경우에만 생략할 수 있다."
19,우발계획(Contingency Plan) 수립 등에 관한 설명으로 가장 옳지 않은 것은?,,항공교통업무제공자는 우발상황 대비를 위해 관련 기관 간 통보조정체계 및 상황관리체계를 포함한 우발계획을 수립하여야 한다.,우발상황이 종료된 경우에도 관련 정보가 항공고시보로 공고될 수 있도록 지체 없이 항공정보업무기관에 통보하여야 한다.,"예측 가능한 노동쟁의로 인한 항공교통업무 장애가 예상되는 경우, 해당 우발대책은 발효 최소 24시간 전까지 항공정보업무기관에 통보해야 한다.",우발계획에 대한 훈련은 연 1회 이상 실시하여야 한다.,3,[항공교통업무기준 제35조제6항] 항공교통업무의 장애가 예측 가능한 경우에는 '48시간 전'까지 항공정보업무기관에 통보하여야 한다.
20,항공정보 지도 자료(Aeronautical Data) 및 무결성 등급에 대한 설명으로 옳은 것은?,"A. 일반자료(routine data): 손상된 자료가 사용될 경우 대형사고 발생 개연성이 낮은 자료
B. 필수자료(essential data): 손상된 자료가 사용될 경우 대형사고 발생 개연성이 아주 낮은 자료
C. 중요자료(critical data): 손상된 자료가 사용될 경우 대형사고 발생 개연성이 높은 자료",A,B,C,"A, C",3,"[항공교통업무기준 제5조제105호] 일반자료(Routine data)는 사고 발생 개연성이 '아주 낮은' 자료이고, 필수자료(Essential data)는 '낮은' 자료이다. 중요자료(Critical data)는 '높은' 자료이므로 C만 옳다."
21,항공교통관제업무 제공 시 적용되는 수평 속도조절 지시(Horizontal speed control instructions)에 대한 설명으로 가장 옳지 않은 것은?,,속도조절 지시는 관제사가 명확히 취소하거나 수정하지 않는 이상 계속 유효하다.,"고도 7,600m(FL 250) 미만에서 속도조절은 지시대기속도(IAS)를 기준으로 20km/h(10knots)의 배수로 지시하여야 한다.",활주로시단으로부터 9km(5NM) 지점 이내에서 최종접근 중인 항공기에게는 ±20knots(±40km/h) 이하로만 속도조정을 하여야 한다.,순항고도에서 강하를 시작한 터보제트 항공기의 속도를 460km/h(250kt) IAS 미만으로 줄이는 것은 운항승무원의 동의가 있을 때만 적용되어야 한다.,3,"[항공교통업무기준 별표1 4.6.3.6 및 4.6.3.7] 중간접근 및 최종접근 중인 항공기에게는 ±20knots(±40km/h) 이하로만 속도조정을 하여야 하나, 활주로시단으로부터 '7km(4NM)' 지점 이내에서 최종접근 중인 항공기에게는 속도조절 지시를 하여서는 안 된다."
22,다음 중 비행정보업무(Flight Information Service)의 대상 및 우선순위에 대한 설명으로 가장 적절한 것은?,,비행정보업무는 항공교통관제업무가 제공되는 항공기에게만 국한하여 제공된다.,"항공교통관제업무와 비행정보업무가 동시에 요구될 경우, 비행정보업무를 우선하여 제공하여야 한다.","최종 접근, 착륙, 이륙 및 상승 중인 항공기에게는 항공교통관제업무보다 필수 정보를 지연 없이 제공할 수 있다.",항공교통관제시설에 인지되지 않은 VFR 항공기라도 관제공역 내에 있다면 의무적으로 비행정보업무를 제공해야 한다.,3,"[항공교통업무기준 제46조] 항공교통관제업무와 비행정보업무가 동시에 수행되어야 할 경우에는 '항공교통관제업무'를 우선한다. 다만, 최종 접근, 착륙, 이륙 및 상승 중인 항공기에게는 예외적으로 필수 정보를 지연 없이 제공할 수 있다."
23,수직 속도 조절 지시(Vertical speed control instructions)에 관한 사항으로 가장 옳지 않은 것은?,,수직 속도지시는 특정 수직 분리최저치를 확보 또는 유지하기 위하여 상승 또는 강하 중인 두 항공기 간에 적용할 수 있다.,수직속도 조절은 원하는 분리최저치 확보나 유지가 필요한 상황에만 제한적으로 적용하며 빈번한 변경지시는 지양한다.,상승 중인 항공기에게 특정 상승률 이상 또는 특정 상승률 이하를 유지하도록 지시할 수 있다.,"운항승무원이 상승률 또는 강하율 지시를 따를 수 없다고 보고한 경우, 해당 항공기에게 1분간 수평 비행을 유지하게 한 후 재지시해야 한다.",4,"[항공교통업무기준 별표1 4.7.1.3] 운항승무원이 상승률 또는 강하율 지시를 따를 수 없다고 보고한 경우, 지체 없이 관련 항공기 간의 간격 유지를 위한 '대체 지시'를 발부하여야 한다. 1분간 수평비행을 강제하는 규정은 없다."
24,항적 난기류(Wake turbulence) 분리에 따른 항공기 그룹 적용 시 각 그룹에 대한 설명 중 틀린 것을 모두 고른 것은?,"가. 그룹 A는 136,000kg 이상이고, 주 날개폭이 74.68m 초과 80m 이하인 항공기이다.
나. 그룹 C는 136,000kg 이상이고, 주 날개폭이 38.1m 초과 53.34m 이하인 항공기이다.
다. 그룹 E는 18,600kg 초과 136,000kg 미만이고, 주 날개폭이 32m를 초과하는 항공기이다.
라. 그룹 G는 주 날개폭에 관계없이 7,000kg 이하인 항공기이다.","가, 다","나, 라","다, 라","나, 다, 라",3,"[항공교통업무기준 별표1 4.9.1.2] 다: 그룹 E는 27.43m 초과 32m 이하인 항공기이다 (32m 초과는 그룹 D). 라: 그룹 G는 주 날개폭에 관계없이 '18,600kg 이하'인 항공기이다."
25,위치보고(Position reporting)에 대한 절차로 가장 옳지 않은 것은?,,주요지점으로 정의된 경로에서 위치보고는 필수 보고 지점에서 또는 통과한 직후 가능한 한 신속히 이루어져야 한다.,"음성통신으로 위치 보고 시 '다음 통과지점 및 시간', '다음 주요지점'은 어떠한 경우에도 생략할 수 없다.","주요지점으로 정의되지 않은 비행경로 상에서의 위치보고는 비행시작 30분 후에 최초로, 그 이후에는 매 시간 간격으로 이루어져야 한다.","유지하여야 할 속도가 배정되었을 때, 운항승무원은 위치보고 시 해당 속도를 포함하여야 한다.",2,"[항공교통업무기준 별표1 4.11.2.1] 무선통신으로 위치 보고를 할 때, '지역 항행협정에 따라 생략할 수 있다고 명시된 경우'를 제외하고 필수적으로 포함해야 한다. 즉, 생략 가능한 예외가 존재한다."
26,항공교통업무시설의 통신 요건에 관한 설명 중 가장 올바르지 않은 것은?,,"접근관제업무를 제공하는 시설이 독립시설인 경우, 공지통신은 전용 통신채널을 사용하여야 한다.","항공교통관제업무용으로 조종사-관제사 간 통신에 사용되는 모든 공지통신에 대한 녹음설비를 갖추어야 하며, 녹음자료는 최소한 15일간 보관하여야 한다.",비행장관제탑의 공지통신시설은 해당 비행장으로부터 45km(25NM) 내에서 규정된 장비를 갖춘 항공기와 양방향 통신을 제공할 수 있어야 한다.,기동지역에서 운항하는 항공기를 제외한 차량을 통제하는 항공교통업무시설은 시각신호시스템 사용이 적절한 경우를 제외하고 양방향 무선통신시설을 갖추어야 한다.,2,[항공교통업무기준 제56조제1항제4호] 통신채널의 녹음자료는 최소한 '30일간' 보관하여야 한다.
27,비행장 내의 인원 및 차량 통제에 관한 내용으로 올바른 것을 모두 고르시오.,"가. 비행장 기동지역 내의 견인항공기, 인원 또는 차량 이동은 비행장관제탑이 통제하여야 한다.
나. 기동지역 내를 이동하는 차량은 관제지시에 따라 이동 중인 다른 차량에게 항상 우선권을 가진다.
다. 조난항공기의 구조를 위하여 이동하는 비상차량은 다른 모든 지상이동 교통보다 우선권을 부여하여야 한다.
라. 저시정절차 운영 시 비행장 기동지역 내의 인원 및 차량 이동을 금지해야 한다.","가, 나","가, 다","다, 라","나, 라",2,[항공교통업무기준 제43조] 나: 차량은 관제지시에 따라 이동 중인 다른 차량에게 진로를 '양보'해야 한다. 라: 저시정절차 운영 시 인원 및 차량 이동을 전면 금지하는 것이 아니라 '최소한으로 제한'해야 한다.
28,비행 중 우발상황 중 '공지통신 장애(Air-ground communications failure)' 시 항공교통관제 우발절차로 가장 거리가 먼 것은?,,항공기가 관할 관제구역 내에 있는 경우 비상주파수(121.5MHz 및 243.0MHz)를 포함한 가능한 모든 주파수를 사용하여 양방향 교신을 시도한다.,인접 비행정보구역을 관할하는 항공교통업무제공자에게 문의하고 교신 유지에 필요한 도움을 요청할 수 있다.,"공지통신 장애가 30분 이상 지속될 경우, 관제사는 조종사의 의도를 파악하기 위해 인근 VFR 항공기에게 해당 항공기를 요격하여 상황을 파악하도록 지시해야 한다.",해당 지역에 있는 다른 항공기로부터 정보 입수를 시도한다.,3,"[항공교통업무기준 제29조제1항] 민간 VFR 항공기에게 요격을 지시하는 규정은 없으며, 통신 두절 시 위치 파악을 위한 다른 통신 수단/방법 활용을 우선한다."
29,항공교통관제사의 정기 심사(Routine Check)에 대한 설명으로 가장 옳은 것은?,,정기 심사는 자격증명 한정을 취득한 후 최초로 실시하는 경우 한정 받은 날부터 1년 이내에 1회 실시해야 한다.,정기 심사에 불합격한 관제사는 재교육 없이 1개월 이내에 재평가를 받아야만 한다.,최초의 정기 심사 이후 실시하는 정기 심사는 직전 정기 심사에 합격한 날부터 2년이 되는 날이 속하는 달의 말일까지 1회 실시한다.,정기 심사 결과는 항공교통관제시설의 장이 보관하고 국토교통부장관에게는 연 1회 일괄 보고한다.,3,[항공교통업무기준 제74조의4] 보기 1: 최초 정기 심사는 2년 이내에 실시한다. 보기 2: 불합격 시 합격(자격증명 한정 효력 회복) 시까지 관제업무를 수행하지 못하도록 조치해야 한다(재교육 등 필요). 보기 4: 정기 심사 결과는 '지체 없이' 국토교통부장관에게 보고해야 한다.
30,관제이양(Transfer of control) 협조 사항에 대한 설명으로 틀린 것은?,,인수시설로부터 관제이양에 대한 동의가 없는 경우에는 항공기를 관제이양하여서는 아니 된다.,레이더 자료를 이용해 관제이양을 하는 경우 인계시설은 관제이양 직전 레이더로 관찰된 항공기 위치 정보를 인수시설에 제공해야 한다.,"인수시설은 양 시설 간 합의서에 특별한 절차가 없더라도, 인계시설의 관제이양 조건을 수정할 권한이 없으므로 무조건 수락해야 한다.",인수시설은 관제이양을 받는 항공기가 관제이양 이후에 수행해야 하는 허가사항이나 다른 정보를 인계시설에 통보하여야 한다.,3,"[항공교통업무기준 제41조제2항제3호가목] 인수시설은 인계시설이 제시하는 조건대로 관제이양 수락 의사를 표시하거나, 인계시설이 제시하는 조건에 대해 '필요한 변경 사항'을 통보해야 한다 (무조건 수락이 아님)."
