번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
11,항공교통관제절차에서 사용되는 다음 약어 중 그 의미가 옳은 것은?,,AWOS: Automated Weather Observing System (자동 기상 관측 장비),NADIN: National Airspace Data Information Network,ELDB: Enhanced Location DataBlock,ATOP: Advanced Terminal and Oceanic Procedures,1,"NADIN은 Interchange, ELDB는 Limited, ATOP는 Technologies를 의미한다. (출처: 항공교통관제절차 1-2-6)"
12,"공역등급 중 E등급 공역에서 VFR 항공기 비행 시 제공되는 업무, 무선통신 요건, ATC 허가 기준으로 알맞게 짝지어진 것은?",,교통정보(요청시) / 양방향 무선통신 필요 / ATC 허가 필요,가능한 경우 교통정보 / 무선통신 필요없음 / ATC 허가 불필요,비행정보업무 / 양방향 무선통신 필요 / ATC 허가 필요,비행정보업무 / 무선통신 필요없음 / ATC 허가 불필요,2,"E등급 공역에서 VFR 항공기는 가능한 경우 교통정보가 제공되며, 무선통신과 ATC 허가는 불필요하다. (출처: 항공교통업무기준 별표 4)"
13,항공교통관제에서 방향 및 방위 정보 제공 기준에 대한 설명으로 옳은 것은?,"ㄱ. 이착륙 비행 시 국지관제사가 제공하는 풍향은 자북 기준이다.
ㄴ. 레이더로 식별된 항공기에게 알려줄 위치로부터 거리, 방위 정보 제공하는 것은 진북 기준이다.
ㄷ. 항공지도업무기관이 방위, 진로 및 레디얼을 제공하는 것은 자북 기준이다.",ㄱ,"ㄴ, ㄷ","ㄱ, ㄷ","ㄱ, ㄴ, ㄷ",1,"진로, 방위, 방위각, 기수, 풍향 정보는 별도로 언급하지 않는 한 자침방향(자북)을 기준으로 한다. (출처: 항공교통관제절차 1-2-1)"
14,관제비행장의 기동지역에서 항공기를 제외한 차량을 통제하는 항공교통업무시설의 통신요건에 대한 설명으로 옳은 것은?,,시각신호시스템 통신은 어떠한 경우에도 차량 통제에 사용할 수 없다.,기동지역 차량통제를 위한 별도의 통신회선을 갖출 필요는 없다.,차량을 통제하는 비행장관제업무 시설에는 양방향 무선통신시설을 제공해야 한다.,차량통제용으로 이용되는 통신회선에 대한 자동녹음장치의 보존 기간은 최소 60일이다.,3,"차량을 통제하는 비행장관제업무 시설에는 양방향 무선통신시설을 제공해야 하며, 녹음 자료는 최소 30일간 보존해야 한다. (출처: 항공교통업무기준 제58조)"
15,항공교통업무기준상 성능기반항행에 대한 설명으로 빈칸에 알맞은 말은?,"1) 성능요건은 무결성, 연속성 및 ( A )을(를) 고려한 항행요건으로 표현된다.
2) 항행요건은 관련 ( B )에 제공되는 통신, 항행 및 항공교통업무의 수준에 부합하여야 한다.
3) 성능기반항행 이행에 대한 안전평가와 지속적 감시는 ( C )에 따라 시행되어야 한다.","A: 정확도, B: 비행장, C: 항공안전법","A: 이용가능성, B: 공역, C: 국가항공안전프로그램","A: 경제성, B: 공역, C: 항공교통업무기준","A: 신속성, B: 비행장, C: 국가항공안전프로그램",2,"성능요건은 정확도, 무결성, 연속성, 이용가능성 등을 고려한 항행요건으로 표현된다. 관련 공역에 제공되는 업무수준에 부합해야 하며 국가항공안전프로그램에 따라 시행된다. (출처: 항공교통업무기준 제12조 및 제5조)"
16,"항공교통업무기준에서 인적요인 원칙에 따라 관제기관이 항공교통업무 수행 중 발생하는 위협, 실수를 인지하는 경우 이를 조치하기 위해 고려해야 하는 사항이 아닌 것은?",,특정 임무나 특정 요소의 스트레스 발생을 감소하기 위한 방법,실수감지를 증진하기 위한 방법,개인 및 팀별 실수발생 원인 제공자에 대한 징계 절차,근무현장과 시스템의 실수한계 허용을 증가시키기 위한 방법,3,"실수 인지 시 감소나 완전한 제거를 위한 조치를 취해야 하며, 징계 절차에 대한 규정은 인적요인 원칙 고려사항에 없다. (출처: 항공교통업무기준 제87조)"
17,항공로 또는 계기비행절차에서 중요지점의 설정 및 명칭부여 원칙에 대한 설명으로 틀린 것은?,,중요지점은 가능한 한 지상의 항행안전무선시설과 관련하여 설정하여야 한다.,중요지점의 명칭은 가능한 한 6문자 이상 3음절 초과로 구성되어야 한다.,"항행안전무선시설의 위치가 아닌 장소에 중요지점을 설정할 필요가 있는 경우, 5문자로 구성되는 name-code로 명칭을 부여한다.",중요지점의 부호명칭은 항행안전무선시설의 식별부호와 동일하여야 한다.,2,"중요지점 명칭은 6문자 이상, 2음절로 구성되며 3음절을 초과하지 않도록 해야 한다. (출처: 항공교통업무기준 별표 2)"
18,항공교통관제절차에서 공항지상감시레이더(ASDE) 및 안전경고 대응에 대한 설명으로 틀린 것은?,,착륙시단 이전 공중에 있는 도착항공기에 대해 안전경고 발생 즉시 복행지시를 하여야 한다.,조종사의 요구가 있더라도 ASDE를 활용하여 방향이 명시되는 지상활주 정보를 제공하여서는 안 된다.,ASDE 상의 항적 식별을 위해 조종사의 위치보고와 항적 위치를 상호연관하여 식별할 수 있다.,비상사태가 아니면 ASDE를 활용하여 특정한 항법안내를 제공하여서는 안 된다.,2,조종사 요구 시 방향이 명시되는 지상활주 정보를 제공하기 위해 ASDE 정보를 활용할 수 있다. (출처: 항공교통관제절차 3-6-3)
19,다음 중 상황에 따른 관제지시 용어로 옳지 않은 것은?,,Cleared taxi,"Follow B757, cross runway 27R at taxiway P","Descent via OLMEN 2U, except cross UPKIG at or above 1,000","Hold east of SOT VORTAC on the 090 radial, 1 minute leg, right turn",1,"항공기 지상활주 허가 발부 시 용어 'Cleared'를 사용하여서는 안 되며, 'Taxi', 'Proceed' 또는 'Hold'를 서두에 사용하여야 한다. (출처: 항공교통관제절차 3-7-1)"
20,도착지연 항공기에 대한 탐색경보(ALNOT) 관련 절차로 틀린 것은?,,연료고갈 등 조난상황이 확실시 될 경우 구조조정센터(RCC)에 통보하여야 한다.,항공기와의 통신설정 및 위치 파악을 위하여 필요한 모든 협조를 요청한다.,불법간섭을 받고 있는 것으로 판단될 때 즉시 그 정보를 통보하여야 한다.,도착지연 항공기의 비행계획은 구조조정센터에 통보 대상이 아니다.,4,비상상황으로 판단되는 항공기에 대해 비행계획서의 중요 정보를 구조조정센터에 즉시 통보하여야 한다. (출처: 항공교통관제절차 9-3-2 및 항공교통업무기준 제51조)
