번호,문제,보기1,보기2,보기3,보기4,보기5,정답,해설
11,"정밀접근활주로 CAT-II 및 CAT-III의 시단등, 활주로 가장자리등, 중심선등에 요구되는 예비전원(Secondary Power)의 최대 전환 시간은?",1초 이내,5초 이내,10초 이내,15초 이내,무순단 (0초),1,카테고리 2/3 정밀접근 활주로의 핵심 등화시설은 상용 전원 차단 시 1초 이내에 예비전원으로 전환되어야 합니다.
12,비정밀 또는 비계기 활주로의 시단을 야간이나 악천후 시 조종사가 명확히 식별할 수 있도록 시단등과 함께 양 측면에 설치하여 깜빡이는 등화(RTIL)의 색상은?,청색 섬광,녹색 섬광,백색 섬광,황색 섬광,적색 섬광,3,활주로시단식별등(RTIL: Runway Threshold Identification Lights)은 진입 방향에서 보았을 때 백색 섬광등을 냅니다.
13,"유도로에서 활주로로 진입하기 전, 정지선 대기 위치를 야간이나 저시정 상태에서 명확히 알리기 위해 유도로를 가로질러 설치하는 '활주로경계등(Runway Guard Lights)'의 작동 형태와 색상은?",적색 고정광,청색 점멸광,백색 고정광,황색 섬광 (교대 점멸),녹색 섬광,4,활주로경계등은 조종사나 운전자의 주의를 환기하기 위해 2개의 황색등이 번갈아 깜빡이게(교대 점멸) 작동합니다.
14,"저시정 운영(LVP) 시 관제탑의 통제에 따라 유도로 진입을 막기 위해 켜지며, 허가가 날 경우 꺼지는 '정지선등(Stop Bar Lights)'의 색상은?",적색 고정광,황색 점멸광,백색 고정광,녹색 고정광,청색 점멸광,1,"정지선등은 진입 금지를 강력히 나타내는 적색 고정광으로 유도로를 가로질러 설치되며, 관제사가 진입을 허가할 때만 소등됩니다."
15,안개 등 저시정 조건에서 항공기가 유도로 교차점에 접근할 때 충돌을 방지하기 위해 유도로 중심선을 가로질러 설치하는 '교차방향회피등(Clearance Bar Lights)'의 색상은?,백색,적색,청색,황색,녹색,4,교차방향회피등은 조종사에게 교차로가 다가옴을 알리기 위해 황색 고정광으로 설치됩니다.
16,항공기가 탑승교(Boarding bridge)에 정확하게 진입하고 정차할 수 있도록 좌우 편차 및 정지점까지의 거리를 시각적으로 안내해 주는 시스템은?,VDGS (시각주기유도시스템),PAPI (진입각지시등),ASDE (지상감시레이더),ILS (계기착륙시설),AFIS (항공정보업무),1,VDGS(Visual Docking Guidance System)는 주기장에 접근하는 조종사에게 레이저나 LED 화면을 통해 정확한 조향과 정지 위치를 알려주는 시스템입니다.
17,이동지역 내에서 교신 장비 고장 시 관제탑이 차량 운전자에게 보내는 빛총 신호 중 '백색 섬광(Flashing White)'의 의미는?,즉시 정지하라,차량을 대피시켜라,공항의 출발지점(또는 지정된 장소)으로 돌아가라,계속 전진하라,무선 통신을 복구하라,3,백색 섬광은 차량에게 '출발 지점이나 안전한 대기 구역으로 귀환하라(Return to starting point on airport)'는 의미입니다.
18,야간에 비행장 내에서 도로와 유도로의 교차 지점에 차량이 정지해야 함을 알리는 '도로대기위치표지(Road-holding position marking)'와 함께 설치되는 등화의 색상은?,적색 섬광,적색 고정광 (또는 적색 점멸광),청색 섬광,백색 고정광,황색 섬광,2,도로대기위치에는 차량 운전자가 확실히 인식할 수 있도록 적색 등화(고정 또는 섬광)를 설치해야 합니다.
19,항공기가 활주로에 접지할 때 시각적 유도를 위해 그리는 '접지구역표지(Touchdown zone marking)'는 활주로 중심선을 대칭으로 몇 개의 직사각형 무늬가 쌍으로 배치되는 형태인가?,적색과 백색이 교차된 체커보드,활주로 길이에 따라 세로줄 무늬의 쌍(쌍의 개수는 거리에 따라 감소),단일한 대형 원형,다이아몬드 무늬,연속된 노란색 점선,2,"접지구역표지는 조종사에게 남은 접지 가능 거리를 알려주기 위해 150m 간격으로 3개, 2개, 1개씩 세로줄 무늬 쌍이 대칭으로 배치됩니다."
20,공항 내 VOR 수신기를 점검하기 위해 계류장이나 유도로 상에 지정된 'VOR 공항점검위치표지'의 기본적인 형태는?,대형 십자가(X) 모양,노란색 배경의 화살표,중심점이 있는 원형 (바깥선과 중심점),붉은색 삼각형,흑백 체크 무늬의 사각형,3,VOR 점검위치표지는 조종사가 수신기의 방위각을 정확히 맞출 수 있도록 직경 일정 크기의 원형 표지와 중심점으로 구성됩니다.
21,"착륙대(Strip) 표면은 비행기가 활주로를 이탈할 경우 파손을 최소화하기 위해 평탄해야 한다. 코드 3, 4 비행장 착륙대 정지구역의 하향 횡단경사도는 최대 얼마를 초과하지 않아야 하는가?",1.0%,1.5%,2.0%,2.5%,5.0%,4,활주로 이탈 항공기의 안전을 위해 착륙대 정지구역의 하향 횡단경사도는 2.5%를 초과해서는 안 됩니다.
22,공항운영자는 포장 활주로의 표면 평탄성(Surface unevenness)을 유지해야 한다. 만약 표면에 물이 고여 수막현상(Hydroplaning)을 유발할 우려가 있는 경우 시행해야 하는 대표적인 조치는?,비행기 이착륙 중량 50% 제한,야간 비행 전면 금지,포장면 홈파기(Grooving) 및 마찰력 복원 작업,착륙 방향 180도 변경,항공고시보 발송 후 방치,3,표면 배수를 원활히 하고 마찰력을 높이기 위해 포장면에 가로 방향으로 홈을 파는 그루빙(Grooving) 작업을 시행합니다.
23,활주로 가장자리등(Edge lights)의 설치 간격은 일반적으로 중심선과 평행하게 최대 얼마를 초과하지 않도록 배치해야 하는가?,30m,45m,60m,90m,100m,3,활주로 가장자리등은 시인성 확보를 위해 60m 이하의 동일한 간격으로 설치해야 합니다.
24,활주로 중심선등(Centerline lights)을 설치해야 하는 활주로의 기준으로 가장 적합한 것은?,모든 VFR 비행장 활주로,"길이 1,200m 미만의 활주로",카테고리 II/III 정밀진입활주로 및 저시정 이륙 활주로,폭 30m 이하의 소형 활주로,헬기 전용 활주로,3,중심선등은 주로 가시거리가 매우 제한되는 CAT-II/III 접근이나 RVR 400m 미만의 이륙을 지원하는 활주로에 필수적입니다.
25,계류장에 진입하는 항공기와 조업 차량 간의 안전 확보를 위해 여객터미널 등의 건축물이나 고정 구조물에 부착하여 계류장 전반을 비추는 조명은?,가장자리등,계류장 조명등 (Apron Floodlighting),비행장 등대,진입각지시등,위험경고등,2,"야간이나 저시정 시 계류장 내 항공기, 차량, 조업 인원의 시야 확보 및 작업 안전을 위해 플러드라이트(조명탑 등)를 설치합니다."
26,"공항 정보 표지판 중 흑색 바탕에 황색 글씨로 표시되며, 활주로 잔여 거리를 1,000피트(약 300m) 단위의 숫자로 알려주는 표지판은?",위치표지판,방향표지판,잔여거리표지판 (Distance remaining sign),활주로 지정표지판,주파수 변경 표지판,3,잔여거리표지판은 조종사에게 이착륙 시 남은 활주로 길이를 알려주어 안전한 감속을 돕습니다.
27,항공기 사고 시 이동지역 내에서 '항공기 이동복구(Disabled Aircraft Removal)'를 주도적으로 실시할 1차적인 법적 책임 및 비용 부담 주체는?,공항운영자(공항공사),국토교통부,해당 항공기의 소유자 또는 운영자(항공사),관제소,소방방재청,3,"기본적으로 파손된 항공기의 이동 및 복구 책임과 비용은 항공사(운영자/소유자)에게 있으며, 공항운영자는 이를 적극 지원할 계획을 수립해야 합니다."
28,이동지역 내에서 타이어나 휠 브레이크의 과열로 화재가 발생한 항공기에 구조소방대가 접근할 때 가장 안전하고 올바른 접근 각도는?,항공기 정면(0도),항공기 후면(180도),바퀴의 측면 전후방 45도 방향 (사선 접근),휠 타이어의 정측면 직각 방향,수직 상공 헬기 접근,3,브레이크 화재 시 타이어 폭발이나 휠 림 파편이 정측면(90도)으로 튀어나가기 때문에 폭발 파편을 피하기 위해 전후방 45도 사선으로 접근해야 합니다.
29,구조소방대의 소화약제 중 주 소화약제(폼)와 보조 소화약제(건조분말 등)를 함께 사용하는 '복합 방수기법'의 가장 큰 이점은?,비용 절감,환경 오염 완벽 차단,건조분말의 초기 신속한 불꽃 제압과 폼의 재발화 방지 효과 결합,약제 사용량 90% 이상 감소,항공기 동체 세척 효과,3,"분말이나 가스(보조)는 입체 화재를 순식간에 진압하고, 폼(주 약제)은 연료를 덮어 산소를 차단하고 냉각시켜 재발화를 막습니다."
30,공항 구조소방 카테고리(등급)가 취항 항공기 일정 변경 등의 사유로 일시적으로 하향 조정되었을 때 공항운영자가 취해야 할 조치는?,운영을 전면 중단한다.,해당 사실을 즉시 항공정보간행물(AIP) 또는 항공고시보(NOTAM)를 통해 조종사 및 항공사에 고지한다.,비밀로 유지하고 자체적으로 해결한다.,대체 소방차를 렌트할 때까지 활주로를 폐쇄한다.,여객터미널 내 안내방송만 실시한다.,2,소방등급이 저하되면 조종사가 해당 공항 이착륙 여부를 결정할 수 있도록 즉시 NOTAM 등을 통해 공시해야 합니다.
31,야생동물(조류) 충돌 위험을 줄이기 위해 공항 내 착륙대 및 녹지 지역의 풀(잔디) 길이는 통상 어느 정도로 관리하는 것이 권장되는가?,완전한 제초 (0cm 유지),3~5cm 수준의 짧은 잔디,15~20cm 수준 (곤충/씨앗 노출 억제 및 새들의 휴식 방해),50cm 이상의 억새풀 방치,종류 상관없이 예초 금지,3,"잔디가 너무 짧으면 지렁이나 벌레가 쉽게 노출되어 새들이 모이고, 너무 길면 숨기 좋으므로 적정 길이(15~20cm 내외)를 유지하는 것이 권장됩니다. (기출 반영)"
32,"공항 비상계획(AEP)에 따라 수행되는 훈련 중, 소규모로 특정 부문(예: 통신망 점검, 화재진압 등)의 대응 능력을 평가하기 위해 매년 실시하는 훈련은?",종합비상훈련,부분비상훈련 (Partial emergency exercise),도상훈련,실화재 훈련,대테러 모의훈련,2,종합비상훈련(최장 2년)을 실시하지 않는 해에는 특정 절차나 기관의 협력을 점검하는 부분비상훈련을 실시해야 합니다.
33,"비행장 인근에 수역, 늪지대 등 물이 있는 경우(통상 활주로 시단에서 1,000m 이내), 항공기 수중 추락에 대비하여 공항운영자가 확보해야 하는 것은?",심해 잠수정,대형 크루즈선,수난구조 장비 및 특수 훈련을 받은 수상 구조대,인공 제방 축조,잠수함,3,"항공기가 접근 또는 이륙 시 물에 빠질 수 있는 환경을 가진 공항은 전문 수상구조 장비(구조정, 구명뗏목 등)와 절차를 마련해야 합니다."
34,"겨울철 공항 포장면에 눈이나 진창눈이 쌓였을 때 마찰력이 크게 저하된다. 활주로 표면 상태를 세 부분(시단, 중간, 종단)으로 나누어 평가하여 발송하는 정보의 형식은?",SIGMET,TAF,METAR,SNOWTAM (활주로 표면상태 보고),VOLMET,4,"SNOWTAM은 활주로에 오염물(눈, 얼음 등)이 있을 때 각 3분의 1 구간별 상태와 마찰계수(또는 평가 코드)를 조종사에게 알리는 형식입니다."
35,"겨울철 항공기 표면에 결빙이 발생했을 때, 제빙(De-icing) 작업과 방빙(Anti-icing) 작업의 차이점은?","제빙은 눈이 오기 전에 수행, 방빙은 눈이 온 후에 수행","제빙은 이미 생성된 얼음/눈을 제거하는 것, 방빙은 일정 시간 동안 결빙이 생기지 않도록 보호하는 것","제빙은 날개에만, 방빙은 동체에만 적용","제빙은 뜨거운 공기로, 방빙은 찬물로 작업",두 작업은 완전히 동일한 용어이다,2,"제빙은 고압의 뜨거운 용액으로 얼음을 녹이는 것이고, 방빙은 점성이 있는 용액을 덮어 일정 시간 동안 얼음이 얼지 않게 막는 것입니다."
36,"항공안전관리시스템(SMS)에서 위험도(Risk)를 수용 가능성에 따라 분류할 때, 조치가 취해지지 않으면 절대 수용할 수 없는 가장 높은 위험 단계를 의미하는 색상(또는 구역)은?",녹색 (Green),황색 (Yellow),청색 (Blue),적색 (Red / Unacceptable),백색 (White),4,"위험도 매트릭스에서 발생 가능성과 심각성이 모두 높아 절대 수용 불가한 위험 구역은 주로 적색(Red)으로 표시되며, 즉각적인 위험 경감 조치가 요구됩니다."
37,다음 중 공항 이동지역 내 차량 속도 제한 규정의 일반적인 원칙으로 옳은 것은?,모든 차량은 항상 최대 속도로 주행하여 신속히 이탈해야 한다.,계류장 주변은 조업 안전을 위해 엄격한 속도 제한(예: 20~30km/h)이 적용된다.,야간에는 주간보다 속도를 2배 높일 수 있다.,비상차량 출동 시에도 평시 규정 속도를 엄수해야 한다.,여객터미널 내부 도로와 동일한 속도 제한을 받는다.,2,"계류장 주변은 항공기와 인력이 밀집해 있어 속도 제한(통상 20~30km/h)이 엄격하며, 출동 중인 비상차량은 예외를 인정받습니다."
38,"이동지역을 출입하는 인원 및 차량 통제와 관련하여, 활주로나 유도로 등의 '기동지역' 진입 시 가장 필수적인 조건은?",공항운영자의 서면 허가서만 지참,항공기 기장의 동의,관제탑과의 양방향 무선통신 유지 및 관제 허가(Clearance),공항 경찰대 에스코트,안전조끼 미착용 허용,3,"안전한 운항을 위해 기동지역(활주로, 유도로)에 진입하려는 모든 사람과 차량은 반드시 관제탑과 무선 교신을 유지하고 명확한 진입 허가를 받아야 합니다."
39,활주로 포장면의 표면 마찰력이 '허용 최소마찰수준(Minimum Friction Level)'에 도달하거나 그 이하로 떨어진 경우 공항운영자가 즉시 해야 할 조치는?,비행기 이륙 중량 10% 증가 허용,항공고시보(NOTAM) 발행으로 마찰력 저하 공지 및 즉각적인 조치(고무제거 등) 실시,다음 달 정기점검 시까지 관망,풍향표시기 철거,활주로 횡단경사도 재시공,2,"마찰력이 기준 미달이면 안전상 매우 위험하므로 즉각 상황을 전파(NOTAM)하고, 물청소나 고무 제거 등 복원 작업을 시행해야 합니다."
40,"공항 안전관리기준상, 활주로/유도로 포장면이 파손되거나 균열이 발생하여 이물질(FOD)이 생길 우려가 있을 때 이를 예방하기 위한 보수 방법으로 주로 사용되는 것은?",테이프 부착,균열 채움(Crack Sealing) 및 부분 패칭(Patching),페인트 덧칠하기,그루빙(Grooving) 완전 삭제,흙으로 덮기,2,"포장면의 틈새로 물이 스며들거나 조각이 떨어져 FOD가 되는 것을 막기 위해 균열을 실란트로 채우거나(Sealing), 파손 부위를 잘라내고 덧씌우는(Patching) 작업을 합니다."
41,비행장 등화시설 중 바람의 방향에 따라 항공기 이착륙 방향을 결정할 때 참고가 되도록 활주로 끝단 등에 설치되는 T자 형상의 등화는?,착륙방향지시등 (Landing direction indicator),풍향표시기등,비행장 등대,진입도선등,활주로 가장자리등,1,"착륙방향지시기(보통 'T'자 모양)는 조종사에게 이착륙해야 할 활주로 방향을 시각적으로 알려주며, 야간 운영 시 조명이 켜집니다."
42,"정밀접근활주로의 비상 상황 시 상용 전원과 예비 전원이 모두 고장 났을 때를 대비하여, 구조소방차량 등이 즉시 출동하여 임시 조명을 제공하는 등의 대책을 무엇이라 하는가?",모바일 조명 계획 (Portable lighting system),영구 폐쇄 계획,레이더 관제 전환,주간 전용 전환,관제탑 소등 조치,1,완전한 정전 대비를 위해 즉각 배치할 수 있는 휴대용/이동식 비상 조명 시스템을 확보하고 운영 절차를 갖추어야 합니다.
43,"여객이 항공기에 승하차하기 위해 걸어서 계류장을 이동할 때, 안전사고를 방지하기 위해 공항운영자 또는 항공사가 취해야 할 적절한 조치는?",자유로운 경로 탐색 장려,지상 조업 차량의 속도 증가,여객 동선 통제 라인 설치 및 인솔자 배치,안전조끼 판매,야간에는 안내등 소등,3,"엔진 배기, 차량 충돌 등으로부터 도보 이동 여객을 보호하기 위해 이동 경로를 명확히 지정하고 인솔/통제해야 합니다."
44,공항 안전점검 중 '일일점검' 시 활주로 지역에서 중점적으로 확인해야 하는 사항이 아닌 것은?,활주로 표면의 이물질(FOD) 유무,조류 및 야생동물의 활동 징후,"시각지원시설(등화, 표지)의 파손 여부",여객터미널 내부 수하물 벨트 작동 상태,포장면의 파손 및 침하 상태,4,여객터미널 내부 시설물 관리는 이동지역 안전점검(기동지역 일일점검)의 대상이 아닙니다.
45,야생동물 통제 기법 중 '생태학적 통제(Habitat Management)'에 해당하는 것은?,엽총을 이용한 유해 조수 구제,가스 폭음기 설치,배수로 복개 및 습지 제거를 통한 서식 환경 파괴,포획망을 이용한 생포,독수리 모형 비행선 띄우기,3,"생태학적 통제는 동물이 서식하거나 먹이를 구할 수 있는 환경 자체(물웅덩이, 풀 길이, 쓰레기장 등)를 제거하여 접근 원인을 차단하는 근본적 방법입니다."
46,"구조소방 요원의 훈련 중, 복잡한 비상 상황을 가정하고 지휘 체계 및 기관 간 통신, 협력 절차를 점검하기 위해 실제 기동 없이 회의실 등에서 지도와 도면을 놓고 진행하는 훈련은?",실화재 훈련,부분 훈련,도상 훈련 (Tabletop Exercise),체력 검정,장비 조작 훈련,3,도상 훈련은 지휘관과 핵심 관계자들이 모여 시나리오에 따른 대응 논리를 토론하고 점검하는 지휘소 훈련입니다.
47,"항공기가 착륙대 외부로 이탈하거나 불시착할 경우에 대비하여, 구조소방 차량이 공항 반경 1,000m 이내로 신속히 출동할 수 있도록 확보해야 하는 도로는?",일반 국도,비상접근도로 (Emergency Access Road),지하철도,고속도로 톨게이트,보행자 전용 도로,2,비상접근도로는 울타리 외부나 주변 늪지대 등 취약 지역으로 구조차량이 막힘없이 신속히 기동할 수 있도록 설계된 전용 통로입니다.
48,유도로 중심선 곡선부를 주행하는 항공기의 '메인 기어(주륜)'가 갓길로 빠지지 않고 포장면 위에 안전하게 머물 수 있도록 보장해야 하는 최소 이격거리 개념은?,조향 여유 (Steering Clearance distance),활주 여유,날개 간격,착륙대 폭,회전 반경 (Turning Radius),1,조향 여유 거리는 비행기 조향륜이 중심선을 따라 돌 때 뒤따라오는 주륜이 유도로 가장자리 바깥으로 벗어나지 않도록 남겨두어야 하는 필수 포장 여유 폭입니다.
49,"활주로 진입 전 대기위치(Holding position)를 설정할 때, ILS(계기착륙시설) 전파 간섭을 막기 위해 반드시 피하거나 보호해야 하는 구역은?",ILS 임계/민감구역 (ILS Critical/Sensitive Area),무선침묵구역,정주대,RESA,계류장 안전구역,1,"ILS의 로컬라이저나 글라이드패스 전파가 대기 중인 항공기 동체에 반사되어 왜곡되는 것을 막기 위해, 임계구역 밖(더 뒤쪽)에 대기위치를 설정합니다."
50,다음 중 공항안전관리시스템(SMS)의 '안전증진(Safety Promotion)' 활동에 가장 부합하는 것은?,위험 요소 식별 및 평가 보고서 작성,안전 정책 목표 수립 및 선언,안전성과 지표 모니터링 및 심사,종사자 대상 지속적인 안전 교육 훈련 및 안전 문화 캠페인 실시,사고 발생 후 징계 위원회 개최,4,"안전증진은 조직 전반에 긍정적인 안전 문화를 정착시키기 위한 교육, 소통, 정보 공유 캠페인 등을 포함합니다."
51,"공항안전운영기준에 따라 '고도계 점검위치의 표고(Elevation of altimeter checkpoint)'를 공시할 때, 수치를 표기하는 방법으로 올바른 것은? (기출반영)",소수점 첫째 자리까지 표기,가장 가까운 1미터(또는 1피트) 단위로 반올림하여 정수값으로 표기,5미터 단위로 올림하여 표기,절대 고도 10미터 단위로 절사,센티미터 단위로 정밀하게 표기,2,고도계 점검위치의 표고는 조종사가 세팅하기 용이하도록 가장 가까운 1미터 또는 1피트 단위로 반올림하여 공시해야 합니다.
52,"비행장의 물리적 특성 변경 등 중요한 항공정보를 제공할 때, AIRAC(Aeronautical Information Regulation and Control) 시스템을 준수하여 늦어도 발효일 며칠 전까지 항공정보업무기관에 해당 정보를 제출해야 하는가? (기출반영)",발효일 7일 전,발효일 14일 전,발효일 28일 전,발효일 56일 전,발효일 당일,4,중요한 공항 시설 및 운영 절차 변경 등은 항공사 및 조종사의 사전 인지를 위해 AIRAC 절차에 따라 발효일 최소 56일 전에는 업무기관에 제공되어야 합니다.
53,지상이동 안내 및 통제 시스템(SMGCS / A-SMGCS)을 설계하고 적용할 때 반드시 고려해야 하는 3가지 주요 요인(조건)에 해당하지 않는 것은? (기출반영),가시거리 조건 (Visibility conditions),교통 밀도 (Traffic density),비행장 배치의 복잡성 (Complexity of aerodrome layout),관제탑의 높이 (Height of control tower),"위 1,2,3번은 모두 필수 고려 요인이다.",4,"지상이동 안내 및 통제 시스템은 가시거리, 트래픽 밀도, 공항 구조의 복잡성을 기반으로 등화, 표지, 레이더 감시 수준을 결정하여 설계됩니다."
54,정밀접근활주로에서 공항운영자가 '저시정운영절차(LVP: Low Visibility Procedures)'를 수립하고 시행해야 하는 기상 조건의 기준으로 가장 올바른 것은? (기출반영),"가시거리가 1,500m 미만일 때",활주로가시범위(RVR)가 400m 이하이거나 가시거리가 800m 미만인 상태,풍속이 30노트 이상일 때,비행장 표고가 해수면 아래일 때,야간 운영 시간대 전체,2,LVP는 통상 RVR이 400m 이하로 떨어지거나 일반 가시거리가 800m 미만으로 악화되어 CAT-II/III 이착륙이 요구될 때 발령됩니다.
55,"운영 중인 코드번호 3 또는 4의 정밀접근활주로 부근에서 공사(작업)를 할 때, 항공기 안전을 위해 건설 장비나 인원이 활주로 중심선으로부터 최소 얼마 이상의 안전거리를 확보(이격)해야 하는가? (기출반영)",45m,75m,105m,150m (착륙대 외부),300m,4,"정밀접근활주로(코드 3,4)의 경우 항공기 보호를 위해 활주로 중심선에서 양측 150m 폭을 갖는 착륙대(Strip) 내부에서는 원칙적으로 일반 작업 및 장비 배치가 금지됩니다."
56,"코드문자 E(예: B777, A330 등)가 이용하는 유도로에서 공사를 진행할 때, 유도로 중심선으로부터 작업 구역(또는 건설 장비)까지 최소 확보해야 하는 안전거리(이격거리)는? (기출반영)",22m,38m,47.5m,60m,150m,3,"코드 E 유도로의 유도로대(Taxiway strip) 폭은 중심선으로부터 47.5m이며, 장비와 인원은 이 유도로대 바깥(47.5m 이상)으로 이격하여 작업해야 합니다."
57,"활주로 표면 상태를 감시하고 측정하는 것과 관련하여, 마찰력을 측정할 때 사용하는 물의 깊이 기준(표준 젖은 노면 상태 생성용)은 통상 얼마인가?",0.1mm,1.0mm,5.0mm,10.0mm,25.4mm,2,젖은 활주로의 마찰특성을 객관적으로 측정하기 위해 자체 급수 장치가 달린 장비를 사용하여 포장면에 1.0mm 깊이의 수막을 형성한 후 마찰계수를 측정합니다.
58,저시정운영(LVP) 발령 시 이동지역 내 차량 및 인원 통제 방법으로 틀린 것은? (기출반영),필수 불가결한 업무를 수행하는 인원 및 차량만 진입을 허용한다.,시야 확보를 위해 모든 차량은 상향등(High-beam)을 켜고 고속 주행한다.,기동지역 진입 시 관제탑의 사전 승인을 반드시 받는다.,ILS 임계/민감구역 내 차량 진입을 엄격히 제한한다.,차량은 지정된 경로(SMGCS 경로)만을 이용해 이동해야 한다.,2,"저시정 시에는 오히려 시야가 제한되므로 규정 속도를 철저히 준수하고 서행해야 하며, 상향등은 조종사의 시야를 방해할 수 있어 주의해야 합니다."
59,구조소방 요원의 훈련 및 실적을 기록한 문서는 훈련을 실시한 날부터 최소 몇 년간 보존해야 하는가?,1년,2년,3년,5년,10년,3,"공항운영증명 기준 등에 따라 구조소방요원의 훈련, 자격 부여 등에 관한 기록은 통상 3년간 보관해야 합니다."
60,"대형 비행장에 헬리콥터 전용 착륙장(Heliport)을 설치할 때, 헬기가 최종적으로 접지하고 이륙하는 구역인 TLOF(Touchdown and Lift-Off area)의 최소 크기 기준은 취항하는 가장 큰 헬기 전장(D)의 몇 배 이상이어야 하는가?",0.5배,0.83배,1.0배 (1D),1.5배,2.0배,3,"TLOF의 크기는 취항하는 가장 큰 헬리콥터의 최대 치수(D, 전장)의 1배(1D) 이상을 수용할 수 있는 충분한 크기여야 합니다."
61,"활주로종단안전구역(RESA)의 폭은 접속된 활주로 폭의 최소 2배 이상이어야 하지만, 규정상 가장 '권장(Recommendation)'되는 폭의 크기는?",활주로 폭의 3배,활주로 폭의 4배,접속된 활주로 착륙대(Strip) 폭과 동일,무제한,정주대 폭의 1/2,3,안전 마진을 극대화하기 위해 RESA의 폭은 가급적 해당 활주로에 설정된 착륙대 폭 전체와 동일하게 확보하는 것이 권장됩니다.
